CFIHOS unique code,property name,property definition,property data type,property data type length,unit of measure dimension code CFIHOS unique code,unit of measure dimension code,property picklist name CFIHOS unique code,property picklist name,property existence reason description,property synonym name
CFIHOS-40001144,inlet flange facing,Specify the inlet flange facing.,Text,40,,,CFIHOS-50000243,flange face type,IOGP JIP33 Alignment,
CFIHOS-40001145,suction nozzle position,Specify the suction nozzle flange position.,Text,40,,,CFIHOS-50000244,nozzle position,IOGP JIP33 Alignment,
CFIHOS-40001146,outlet flange facing,Specify the outlet flange facing.,Text,40,,,CFIHOS-50000243,flange face type,IOGP JIP33 Alignment,
CFIHOS-40001147,discharge nozzle position,Specify the discharge nozzle flange position.,Text,40,,,CFIHOS-50000244,nozzle position,IOGP JIP33 Alignment,
CFIHOS-40001148,nozzle load,The net forces and moments exerted on equipment nozzle.,Text,40,,,CFIHOS-50000356,nozzle load,IOGP JIP33 Alignment,
CFIHOS-40001149,auxiliary process-liquid piping construction,Specify the proposed pump auxiliary process-liquid piping construction required.,Text,40,,,CFIHOS-50000367,process-liquid piping construction,IOGP JIP33 Alignment,
CFIHOS-40001150,design approval prior to fabrication,Specify if design approval prior to fabrication is required for the proposed equipment or part of equipment.,Text,40,,,CFIHOS-50000308,required or not,IOGP JIP33 Alignment,
CFIHOS-40001151,drain valve supplied by,Specify who is responsible for supplying the drain valve.,Text,40,,,CFIHOS-50000357,supplied by,IOGP JIP33 Alignment,
CFIHOS-40001152,vent valve supplied by,Specify who is responsible for supplying the vent valve.,Text,40,,,CFIHOS-50000357,supplied by,IOGP JIP33 Alignment,
CFIHOS-40001153,warm-up or cool-down line for instantaneous start up,Specify whether a separate warm-up or cooldown line is required for instantaneous start-up of the pump.,Text,40,,,CFIHOS-50000346,warm-up or cool-down line,IOGP JIP33 Alignment,
CFIHOS-40001154,machined and studded connections,Specify whether machined and studded connections are required for the proposed pump casing.,Text,40,,,CFIHOS-50000308,required or not,IOGP JIP33 Alignment,
CFIHOS-40001155,thread specification,Is a specification which describes the threads.,Text,40,,,CFIHOS-50000358,thread specification,IOGP JIP33 Alignment,
CFIHOS-40001156,bearing housing cooling method,Specify the pump bearing housing cooling method required.,Text,40,,,CFIHOS-50000360,bearing housing cooling method,IOGP JIP33 Alignment,
CFIHOS-40001157,cooling water piping plan,Specify the pump cooling water plan required. Refer to Annex B for piping plans.,Text,40,,,CFIHOS-50000368,piping plan,IOGP JIP33 Alignment,
CFIHOS-40001158,purpose of insulation,Specify the purpose of insulation.,Text,40,,,CFIHOS-50000369,purpose of insulation,IOGP JIP33 Alignment,
CFIHOS-40001159,heat tracing and insulation location,Specify where heat tracing and insulation is to be applied.,Text,100,,,,,IOGP JIP33 Alignment,
CFIHOS-40001160,heat tracing supplied by,Specify who is responsible for supplying heat tracing.,Text,40,,,CFIHOS-50000357,supplied by,IOGP JIP33 Alignment,
CFIHOS-40001161,insulation supplied by,Specify who is responsible for supplying insulation.,Text,40,,,CFIHOS-50000357,supplied by,,
CFIHOS-40001162,heating tracing specification,Is a specification which describes the heating tracing.,Text,40,,,CFIHOS-50000361,purchaser or vendor standard,IOGP JIP33 Alignment,
CFIHOS-40001163,insulation specification,Is a specification which describes the insulation.,Text,40,,,CFIHOS-50000361,purchaser or vendor standard,,
CFIHOS-40001164,shaft flexibility index reported by vendor,Specify if the shaft flexibility index (SFI) is to be reported by vendor.,Text,40,,,CFIHOS-50000308,required or not,IOGP JIP33 Alignment,
CFIHOS-40001165,shaft flexibility index,Specify the shaft flexibility index (SFI).,Text,40,,,,,IOGP JIP33 Alignment,
CFIHOS-40001166,OH3 back-pullout lifting device required,Specify if device for back-pullout and lifting of a OH3 type pump is required.,Text,40,,,CFIHOS-50000308,required or not,IOGP JIP33 Alignment,
CFIHOS-40001167,shrink fit limited movement impellers,Specify if shrink fit limited movement impellers are required.,Text,40,,,CFIHOS-50000308,required or not,IOGP JIP33 Alignment,
CFIHOS-40001168,pump thrust bearing location,Specify the location for the thrust bearing.,Text,40,,,CFIHOS-50000362,bearing location,IOGP JIP33 Alignment,
CFIHOS-40001169,strainer type,Specify the strainer type.,Text,100,,,,,IOGP JIP33 Alignment,
CFIHOS-40001170,type of level control,Specify the type of level control required.,Text,40,,,CFIHOS-50000363,type of level control,IOGP JIP33 Alignment,
CFIHOS-40001171,line shaft connection,Specify the type of line shaft connection required.,Text,40,,,CFIHOS-50000364,line shaft connection,IOGP JIP33 Alignment,
CFIHOS-40001172,line shaft configuration,Specify the line shaft configuration required.,Text,40,,,CFIHOS-50000365,line shaft configuration,IOGP JIP33 Alignment,
CFIHOS-40001173,line shaft bearing lube,Specify the type of line shaft bearing lubrication required.,Text,40,,,CFIHOS-50000366,line shaft bearing lube,IOGP JIP33 Alignment,
CFIHOS-40001174,hardened sleeves under line shaft bearings,Specify if hardened sleeves under line shaft bearings are required.,Text,40,,,CFIHOS-50000308,required or not,IOGP JIP33 Alignment,
CFIHOS-40001175,grade (underside of pump mounting plate or top of foundation) elevation,Specify the grade (underside of pump mounting plate or top of foundation) elevation at which the proposed pump is to be installed.,Text,40,,,,,IOGP JIP33 Alignment,
CFIHOS-40001176,radial bearing type,Specify the driver radial bearing type.,Text,40,,,CFIHOS-50000210,bearing type,IOGP JIP33 Alignment,
CFIHOS-40001177,thrust bearing type,Specify the thrust bearing type.,Text,40,,,CFIHOS-50000210,bearing type,IOGP JIP33 Alignment,
CFIHOS-40001178,review and acceptance of thrust bearing size,"Specify if the trust bearing size for the proposed pump is required to be reviewed and accepted. Applicable to API pump types BB1, BB2 and BB3.",Text,40,,,CFIHOS-50000308,required or not,IOGP JIP33 Alignment,
CFIHOS-40001179,rolling element bearing life calculations,Specify if the rolling element bearing life calculations are required for the bearing arrangement.,Text,40,,,CFIHOS-50000308,required or not,IOGP JIP33 Alignment,
CFIHOS-40001180,bearing lubrication method,Specify the lubrication method for the proposed pump bearings.,Text,40,,,CFIHOS-50000370,bearing lubrication method,IOGP JIP33 Alignment,
CFIHOS-40001181,oil viscosity ISO grade,Specify the oil viscosity ISO grade.,Text,40,,,,,IOGP JIP33 Alignment,
CFIHOS-40001182,bearing lubrication specification,Is a specification which describes the bearing lubricant.,Text,40,,,,,IOGP JIP33 Alignment,
CFIHOS-40001183,grease type,Is a specification which describes the lubricant grease type.,Text,40,,,,,IOGP JIP33 Alignment,
CFIHOS-40001184,grease grade,Is a specification which describes the lubricant grease grade.,Text,40,,,,,IOGP JIP33 Alignment,
CFIHOS-40001185,oil mist reclassifiers supplied by,Specify who is responsible for supplying oil mist directional reclassifiers for the proposed pump.,Text,40,,,CFIHOS-50000357,supplied by,IOGP JIP33 Alignment,
CFIHOS-40001186,pump construction material,"Specify the material from which the pump is constructed according to API 610, Table H.1.",Text,100,,,CFIHOS-50000371,pump construction material,IOGP JIP33 Alignment,
CFIHOS-40001187,reduced-hardness materials,Specify if reduced-hardness materials are required.,Text,100,,,CFIHOS-50000308,required or not,IOGP JIP33 Alignment,
CFIHOS-40001188,material hardness standard,Specify the applicable material hardness standard.,Text,100,,,CFIHOS-50000372,material hardness standard,IOGP JIP33 Alignment,
CFIHOS-40001189,special coating requirement for impellers and other wetted parts,Specify if special coating for impellers and other wetted parts are required.,Text,40,,,CFIHOS-50000308,required or not,IOGP JIP33 Alignment,
CFIHOS-40001190,case and case cover material,The material from which the case and case cover is constructed.,Text,40,,,,,IOGP JIP33 Alignment,
CFIHOS-40001191,nonwetted pressure-retaining fasteners material,The material from which the nonwetted pressure-retaining fastener is constructed.,Text,40,,,,,IOGP JIP33 Alignment,
CFIHOS-40001192,diffuser material,The material from which the diffuser is constructed.,Text,40,,,,,IOGP JIP33 Alignment,
CFIHOS-40001193,impeller material,The material from which the impeller is constructed.,Text,40,,,,,IOGP JIP33 Alignment,
CFIHOS-40001194,inducer material,The material from which the inducer is constructed.,Text,40,,,,,IOGP JIP33 Alignment,
CFIHOS-40001195,impeller wear component type,Specify the impeller wear component type required for the proposed pump.,Text,40,,,CFIHOS-50000373,impeller wear component type,IOGP JIP33 Alignment,
CFIHOS-40001196,impeller wear component material,The material from which the impeller wear component is constructed.,Text,40,,,,,IOGP JIP33 Alignment,
CFIHOS-40001197,impeller wear component hardness,The hardness of the material from which the impeller wear component is constructed.,Text,40,,,,,IOGP JIP33 Alignment,
CFIHOS-40001198,case wear ring material,The material from which the case wear ring is constructed.,Text,40,,,,,IOGP JIP33 Alignment,
CFIHOS-40001199,wear parts hardnesses,The hardness of the material from which the wear parts is constructed.,Text,40,,,,,IOGP JIP33 Alignment,
CFIHOS-40001200,shaft material,The material from which the shaft is constructed.,Text,40,,,,,IOGP JIP33 Alignment,
CFIHOS-40001201,"auxiliary process-liquid lines, fittings and other connections to casing, including seal plans material","Specify the auxiliary process-liquid lines, fittings and other connections to casing, including seal plans materials of construction required.",Text,100,,,CFIHOS-50000387,auxiliary process-liquid lines,IOGP JIP33 Alignment,
CFIHOS-40001202,suction barrel/can material,The material from which the suction barrel/can is constructed.,Text,40,,,,,IOGP JIP33 Alignment,
CFIHOS-40001203,discharge head material,The material from which the discharge head is constructed.,Text,40,,,,,IOGP JIP33 Alignment,
CFIHOS-40001204,discharge column material,The material from which the discharge column is constructed.,Text,40,,,,,IOGP JIP33 Alignment,
CFIHOS-40001205,head column material,The material from which the head column is constructed.,Text,40,,,,,IOGP JIP33 Alignment,
CFIHOS-40001206,discharge elbow and pipe material,The material from which the discharge elbow and pipe is constructed.,Text,40,,,,,IOGP JIP33 Alignment,
CFIHOS-40001207,bowl/casing material,The material from which the bowl/casing is constructed.,Text,40,,,,,IOGP JIP33 Alignment,
CFIHOS-40001208,bellmouth/suction cover material,The material from which the bellmouth/suction cover is constructed.,Text,40,,,,,IOGP JIP33 Alignment,
CFIHOS-40001209,strainer material,The material from which the strainer is constructed.,Text,40,,,,,IOGP JIP33 Alignment,
CFIHOS-40001210,line shaft material,The material from which the line shaft is constructed.,Text,40,,,,,IOGP JIP33 Alignment,
CFIHOS-40001211,shaft enclosing tube material,The material from which the shaft enclosing tube is constructed.,Text,40,,,,,IOGP JIP33 Alignment,
CFIHOS-40001212,bowl shaft material,The material from which the bowl shaft is constructed.,Text,40,,,,,IOGP JIP33 Alignment,
CFIHOS-40001213,process wetted fasteners material,The material from which the process wetted fasteners is constructed.,Text,40,,,,,IOGP JIP33 Alignment,
CFIHOS-40001214,bearing retainer or spider material,The material from which the bearing retainer or spider is constructed.,Text,40,,,,,IOGP JIP33 Alignment,
CFIHOS-40001215,line shaft bearing material,The material from which the line shaft bearing is constructed.,Text,40,,,,,IOGP JIP33 Alignment,
CFIHOS-40001216,line shaft hard facing material,The material from which the line shaft hard facing is constructed.,Text,40,,,,,IOGP JIP33 Alignment,
CFIHOS-40001217,line shaft sleeves material,The material from which the line shaft sleeve is constructed.,Text,40,,,,,IOGP JIP33 Alignment,
CFIHOS-40001218,bearing lubrication lines material,The material from which the bearing lubrication lines is constructed.,Text,40,,,,,IOGP JIP33 Alignment,
CFIHOS-40001219,bowl bearing material,The material from which the bowl bearing is constructed.,Text,40,,,,,IOGP JIP33 Alignment,
CFIHOS-40001220,pump material inspection requirement,Specify the material inspection requirements for the proposed pump.,Text,100,,,CFIHOS-50000374,pump material inspection requirement,IOGP JIP33 Alignment,
CFIHOS-40001221,pump impact test,Specify the impact test standard required for the proposed pump.,Text,40,,,CFIHOS-50000375,pump impact test,IOGP JIP33 Alignment,
CFIHOS-40001222,"hardness testing of parts, welds and heat-affected zones","Specify is hardness testing of parts, welds and heat-affected zones is required.",Text,40,,,CFIHOS-50000308,required or not,IOGP JIP33 Alignment,
CFIHOS-40001223,additional surface/sub-surface examination,Specify if any additional surface/sub-surface examination is required.,Text,100,,,CFIHOS-50000308,required or not,IOGP JIP33 Alignment,
CFIHOS-40001224,additional surface/sub-surface examination components,Specify the components to be subjected to additional surface/sub-surface examination.,Text,100,,,,,IOGP JIP33 Alignment,
CFIHOS-40001225,additional surface magnetic particle or liquid penetrant examination,Specify the type of surface examination required for components to be subjected to additional surface/sub-surface examination.,Text,40,,,CFIHOS-50000376,NDT testing method,IOGP JIP33 Alignment,
CFIHOS-40001226,additional sub-surface ultrasonic or radiographic examination,Specify the type of sub-surface examination required for the components to be subjected to additional surface/sub-surface examination.,Text,40,,,CFIHOS-50000376,NDT testing method,IOGP JIP33 Alignment,
CFIHOS-40001227,additional components positive material identification tested,Specify the additional components to be subjected to positive material identification (PMI) testing.,Text,40,,,,,IOGP JIP33 Alignment,
CFIHOS-40001228,repair and heat treatment records,Specify whether the vendor is required to keep repair and heat treatment records.,Text,40,,,CFIHOS-50000308,required or not,IOGP JIP33 Alignment,
CFIHOS-40001229,API baseplate number,Specify the API baseplate number for the proposed pump.,Text,40,,,CFIHOS-50000377,API pump baseplate number,IOGP JIP33 Alignment,
CFIHOS-40001230,pump baseplate sized to accommodate seal piping systems,Specify if the proposed pump baseplate is required to be sized to accommodate seal piping systems.,Text,40,,,CFIHOS-50000308,required or not,IOGP JIP33 Alignment,
CFIHOS-40001231,pump baseplate type,Specify the required baseplate type for the proposed pump.,Text,100,,,CFIHOS-50000378,pump baseplate type,IOGP JIP33 Alignment,
CFIHOS-40001232,pump baseplate mounting,Specify the required baseplate mounting for the proposed pump.,Text,40,,,CFIHOS-50000379,pump baseplate mounting,IOGP JIP33 Alignment,
CFIHOS-40001233,"stainless steel plate, thickness 0.2 in. (5 mm) minimum, under all pump feet","Specify if stainless steel plates, thickness 0.2 in. (5 mm) minimum, under all pump feet  are required for the proposed pump.",Text,40,,,CFIHOS-50000308,required or not,IOGP JIP33 Alignment,
CFIHOS-40001234,API Standard 682 mechanical seal code,Specify the API Standard 682 mechanical seal code required for the proposed pump.,Text,40,,,,,IOGP JIP33 Alignment,
CFIHOS-40001235,API Standard 682 data sheet attached,Specify if an API Standard 682 mechanical seal data sheet is required for the proposed pump.,Text,40,,,CFIHOS-50000308,required or not,IOGP JIP33 Alignment,
CFIHOS-40001236,pump mechanical seal primary plan,Specify the mechanical seal primary piping plan required for the proposed pump.,Text,40,,,CFIHOS-50000380,pump mechanical seal primary plan,IOGP JIP33 Alignment,
CFIHOS-40001237,pump mechanical seal primary plan construction,Specify the mechanical seal primary piping plan construction required for the proposed pump.,Text,40,,,CFIHOS-50000381,pump mechanical seal primary plan construction,IOGP JIP33 Alignment,
CFIHOS-40001238,pump mechanical seal secondary piping plan,Specify the mechanical seal secondary piping plan required for the proposed pump.,Text,40,,,CFIHOS-50000385,pump mechanical seal secondary piping plan,IOGP JIP33 Alignment,
CFIHOS-40001239,additional central flush port,"Specify if an additional, centrally located, flush port on the top of the mechanical seal gland plate is required..",Text,40,,,CFIHOS-50000308,required or not,IOGP JIP33 Alignment,
CFIHOS-40001240,heating jacket required,Specify if a heating jacket is required..,Text,40,,,CFIHOS-50000308,required or not,IOGP JIP33 Alignment,
CFIHOS-40001241,coupling specification,Is a specification which describes the coupling.,Text,40,,,,,IOGP JIP33 Alignment,
CFIHOS-40001242,coupling size,A general description of the size of the coupling to the drive shaft of an equipment item.,Text,40,,,,,,
CFIHOS-40001243,coupling rating (power/100 rpm),Specify the coupling rating power/100 rpm for the proposed pump.,Text,40,,,,,IOGP JIP33 Alignment,
CFIHOS-40001244,coupling components balance grade,Specify the required coupling component balance grade for the proposed pump.,Text,40,,,CFIHOS-50000382,coupling components balance grade,IOGP JIP33 Alignment,
CFIHOS-40001245,coupling with hydraulic fit,Specify if the coupling hubs are required to be fitted hydraulically.,Text,40,,,CFIHOS-50000308,required or not,IOGP JIP33 Alignment,
CFIHOS-40001246,coupling with proprietary clamping device,Specify if the coupling hubs is required be fitted with a proprietary clamping device.,Text,40,,,CFIHOS-50000308,required or not,IOGP JIP33 Alignment,
CFIHOS-40001247,coupling guard specification,Is a specification which describes the coupling guard.,Text,40,,,,,IOGP JIP33 Alignment,
CFIHOS-40001248,coupling and exposed shaft guard material,The material from which the coupling and exposed shaft guard is constructed.,Text,40,,,,,IOGP JIP33 Alignment,
CFIHOS-40001249,driver specification,Is a specification which describes the driver.,Text,100,,,,,IOGP JIP33 Alignment,
CFIHOS-40001250,pump driver rating,Specify how the driver of the proposed pump is required to be rated.,Text,40,,,CFIHOS-50000383,pump driver rating,IOGP JIP33 Alignment,
CFIHOS-40001251,driver sized for testing on water,Specify if and how the driver should be rated for water test.,Text,40,,,CFIHOS-50000384,driver sized for testing on water,IOGP JIP33 Alignment,
CFIHOS-40001252,starting method,The motor starting method for which the motor will be provided.,Text,40,,,CFIHOS-50000320,starting method,IOGP JIP33 Alignment,
CFIHOS-40001253,adjustable speed drive,Specify if adjustable speed drive is required.,Text,40,,,CFIHOS-50000308,required or not,IOGP JIP33 Alignment,
CFIHOS-40001254,source of adjustable speed drive,Specify the source of adjustable speed drive.,Text,40,,,CFIHOS-50000386,source of adjustable speed drive,IOGP JIP33 Alignment,
CFIHOS-40001255,gear requirement,Specify if a gear is required.,Text,40,,,CFIHOS-50000308,required or not,IOGP JIP33 Alignment,
CFIHOS-40001256,gear specification,Is a specification which describes the gear.,Text,100,,,,,IOGP JIP33 Alignment,
CFIHOS-40001257,accelerometers requirement,Specify if accelerometers are required..,Text,40,,,CFIHOS-50000308,required or not,IOGP JIP33 Alignment,
CFIHOS-40001258,accelerometers mounting location,Specify the required mounting locations for the accelerometers.,Text,100,,,,,IOGP JIP33 Alignment,
CFIHOS-40001259,threaded provision for mounting accelerometers only,Specify if only threaded provision for mounting accelerometers is required.,Text,40,,,CFIHOS-50000308,required or not,IOGP JIP33 Alignment,
CFIHOS-40001260,flat surface provision for mounting accelerometers only,Specify if only flat surfaces for mounting portable magnetic type accelerometers are required.,Text,40,,,CFIHOS-50000308,required or not,IOGP JIP33 Alignment,
CFIHOS-40001261,vibration probes requirement,Specify if vibration proximity probes are required.,Text,40,,,CFIHOS-50000308,required or not,IOGP JIP33 Alignment,
CFIHOS-40001262,vibration probes mounting location,Specify the required mounting locations for the vibration proximity probes.,Text,100,,,,,IOGP JIP33 Alignment,
CFIHOS-40001263,threaded provision for mounting vibration probe only,Specify if only threaded provision for mounting vibration proximity probes is required.,Text,40,,,CFIHOS-50000308,required or not,IOGP JIP33 Alignment,
CFIHOS-40001264,flat surface provision for mounting vibration probes only,Specify if only flat surface provision for mounting portable magnetic type vibration proximity probes are required.,Text,40,,,CFIHOS-50000308,required or not,IOGP JIP33 Alignment,
CFIHOS-40001265,one-event-per-revolution probe (key phasor),Specify if a one-event-per-revolution probe (key phasor) is required.,Text,40,,,CFIHOS-50000308,required or not,IOGP JIP33 Alignment,
CFIHOS-40001266,temperature probe requirement,Specify if temperature probes are required.,Text,40,,,CFIHOS-50000308,required or not,IOGP JIP33 Alignment,
CFIHOS-40001267,temperature probe mounting location,Specify the required mounting locations for the temperature probes.,Text,100,,,,,IOGP JIP33 Alignment,
CFIHOS-40001268,provision for mounting temperature probes only,Specify if only provision for mounting temperature probes is required.,Text,40,,,CFIHOS-50000308,required or not,IOGP JIP33 Alignment,
CFIHOS-40001269,temperature gauges requirements,Specify if temperature gauges are required.,Text,40,,,CFIHOS-50000308,required or not,IOGP JIP33 Alignment,
CFIHOS-40001270,monitors and cables supplied by,Specify who is responsible for supplying and installing vibration and temperature instrument monitors and cables.,Text,40,,,CFIHOS-50000357,supplied by,IOGP JIP33 Alignment,
CFIHOS-40001271,site pollution severity class,The high-voltage switchgear and controlgear site pollution severity class in accordance with IEC 62271-1 Annex K.,Text,40,,,CFIHOS-50000291,pollution severity,IOGP JIP33 Alignment,
CFIHOS-40001272,closing and tripping devices voltage,The high-voltage switchgear and controlgear closing and tripping device voltage in accordance with IEC 62271-1.,Text,40,,,CFIHOS-50000343,voltage in Table 6 and 7 of IEC 62271-1,IOGP JIP33 Alignment,
CFIHOS-40001273,closing and opening indication voltage,The high-voltage switchgear and controlgear closing and opening indication voltage in accordance with IEC 62271-1.,Text,40,,,CFIHOS-50000343,voltage in Table 6 and 7 of IEC 62271-1,IOGP JIP33 Alignment,
CFIHOS-40001274,closing and opening control voltage,The high-voltage switchgear and controlgear closing and opening control voltage in accordance with IEC 62271-1.,Text,40,,,CFIHOS-50000343,voltage in Table 6 and 7 of IEC 62271-1,IOGP JIP33 Alignment,
CFIHOS-40001275,circuit breaker spring charging motors voltage,The circuit breaker spring charging motor rated voltage.,Text,40,,,CFIHOS-50000343,voltage in Table 6 and 7 of IEC 62271-1,IOGP JIP33 Alignment,
CFIHOS-40001276,accessibility type as per IEC 62271-200,The high-voltage switchgear and controlgear accessibility type in accordance with IEC 62271-200.,Text,40,,,CFIHOS-50000201,accessibility type as per IEC 62271-200,IOGP JIP33 Alignment,
CFIHOS-40001277,back-to-wall switchgear configuration required,The switchgear back-to-wall configuration.,Boolean,3,,,,,IOGP JIP33 Alignment,
CFIHOS-40001278,cable termination chamber location,The location of cable termination chamber.,Text,40,,,CFIHOS-50000237,equipment access,IOGP JIP33 Alignment,
CFIHOS-40001279,main device type withdrawal requirements,The main device type withdrawal requirements.,Text,40,,,CFIHOS-50000352,withdrawal requirements,IOGP JIP33 Alignment,
CFIHOS-40001280,compartment insulating medium,The equipment technical requirement with regards to insulation medium.,Text,40,,,CFIHOS-50000256,insulating medium,IOGP JIP33 Alignment,
CFIHOS-40001281,electrical endurance class,The high-voltage switchgear and controlgear classification of earthing switches and circuit-breakers for short-circuit making in accordance with IEC 62271-102.,Text,40,,,CFIHOS-50000233,electrical endurance class,IOGP JIP33 Alignment,
CFIHOS-40001282,earthing switch mechanical endurance class,The earthing switch mechanical endurance class.,Text,40,,,CFIHOS-50000275,mechanical endurance class,IOGP JIP33 Alignment,
CFIHOS-40001283,earthing device operator location,The equipment's required earthing device operator location.,Text,40,,,CFIHOS-50000230,earthing device operator location,IOGP JIP33 Alignment,
CFIHOS-40001284,voltage detecting or indicating system provision,Specify the voltage detecting or indicating system provision.,Text,40,,,CFIHOS-50000342,voltage detecting or indicating system provision,IOGP JIP33 Alignment,
CFIHOS-40001285,LV auxiliary compartment space heater requirement,Specify if a space heater is required in the low voltage auxiliary compartment.,Text,40,,,CFIHOS-50000308,required or not,IOGP JIP33 Alignment,
CFIHOS-40001286,HV connection compartment space heater requirement,Specify if a space heater is required in the high voltage compartment.,Text,40,,,CFIHOS-50000308,required or not,IOGP JIP33 Alignment,
CFIHOS-40001287,local gas pressure indication,The method of local gas pressure indication/alarm.,Text,40,,,CFIHOS-50000267,local gas pressure indication,IOGP JIP33 Alignment,
CFIHOS-40001288,circuit breaker switching medium,The circuit breaker switching medium.,Text,40,,,CFIHOS-50000256,insulating medium,IOGP JIP33 Alignment,
CFIHOS-40001289,contactor switching medium,The contactor switching medium.,Text,40,,,CFIHOS-50000256,insulating medium,IOGP JIP33 Alignment,
CFIHOS-40001290,provision of controlled pressure systems,The high-voltage switchgear and controlgear provision of controlled pressure systems.,Text,40,,,CFIHOS-50000289,permitted or not,IOGP JIP33 Alignment,
CFIHOS-40001291,enclosure floor surface,Specify whether the floor surface below the installed assembly may be considered as part of the enclosure.,Text,40,,,CFIHOS-50000235,enclosure floor surface,IOGP JIP33 Alignment,
CFIHOS-40001292,LV compartments locking facility,The access control with regards to LV compartments covers and doors.,Text,40,,,CFIHOS-50000273,locking facility,IOGP JIP33 Alignment,
CFIHOS-40001293,partition class,The high-voltage switchgear and controlgear switchgear partition class of the assembly in accordance with IEC 62271.,Text,40,,,CFIHOS-50000288,partition class,IOGP JIP33 Alignment,
CFIHOS-40001294,isolating switching devices,The high-voltage switchgear and controlgear electrical endurance class of isolating switching devices in accordance with IEC 62271-103.,Text,40,,,CFIHOS-50000233,electrical endurance class,IOGP JIP33 Alignment,
CFIHOS-40001295,switch mechanical endurance class,The high-voltage switchgear and controlgear mechanical endurance class of isolating switching devices in accordance with IEC 62271-103.,Text,40,,,CFIHOS-50000275,mechanical endurance class,IOGP JIP33 Alignment,
CFIHOS-40001296,capacitive breaking capability class of switches,The high-voltage switchgear and controlgear capacitive breaking capability class of switches in accordance with IEC 62271-103.,Text,40,,,CFIHOS-50000309,restrike class,IOGP JIP33 Alignment,
CFIHOS-40001297,circuit-breaker restrike class,The high-voltage switchgear and controlgear circuit-breaker restrike class in accordance with IEC 62271-100.,Text,40,,,CFIHOS-50000309,restrike class,IOGP JIP33 Alignment,
CFIHOS-40001298,circuit-breaker mechanical endurance class,The high-voltage switchgear and controlgear mechanical endurance class of circuit breakers in accordance with IEC 62271-100.,Text,40,,,CFIHOS-50000275,mechanical endurance class,IOGP JIP33 Alignment,
CFIHOS-40001299,circuit-breaker system class,The high-voltage switchgear and controlgear circuit-breaker system class in accordance with IEC 62271-100.,Text,40,,,CFIHOS-50000217,circuit-breaker system class,IOGP JIP33 Alignment,
CFIHOS-40001300,provision of metal oxide surge arresters,Specify if metal oxide surge arresters to according to IEC 60099-4 is required.,Text,40,,,CFIHOS-50000308,required or not,IOGP JIP33 Alignment,
CFIHOS-40001301,measuring device accuracy,The measuring devices accuracy class.,Text,40,,,CFIHOS-50000202,accuracy class in accordance with IEC 60051-1,IOGP JIP33 Alignment,
CFIHOS-40001302,transducer output signal,The transducer output for which the application requires.,Text,40,,,CFIHOS-50000131,signal type,IOGP JIP33 Alignment,
CFIHOS-40001303,protection relay type,The IED protection relay type.,Text,40,,,CFIHOS-50000299,protection device relay type,IOGP JIP33 Alignment,
CFIHOS-40001304,incoming cable entry direction,The required incoming cable entry direction.,Text,40,,,CFIHOS-50000212,cable entry direction,IOGP JIP33 Alignment,
CFIHOS-40001305,outgoing cable entry direction,The required outgoing cable entry direction.,Text,40,,,CFIHOS-50000212,cable entry direction,IOGP JIP33 Alignment,
CFIHOS-40001306,auxiliary cable entry direction,The required auxiliary cable entry direction.,Text,40,,,CFIHOS-50000212,cable entry direction,IOGP JIP33 Alignment,
CFIHOS-40001307,communication protocol performance class,"The high-voltage switchgear and controlgear conformance class in accordance with IEC 62271-3, 5.2.",Text,40,,,CFIHOS-50000219,communication protocol performance class,IOGP JIP33 Alignment,
CFIHOS-40001308,number of redundant communication links,"The high-voltage switchgear and controlgear number of redundant communication links in accordance with IEC 62271-3, 6.1.3.",Text,40,,,CFIHOS-50000307,redundant communication links,IOGP JIP33 Alignment,
CFIHOS-40001309,communication protocol availability class,The high-voltage switchgear and controlgear availability class in accordance with IEC 62271-3.,Text,40,,,CFIHOS-50000218,communication protocol availability class,IOGP JIP33 Alignment,
CFIHOS-40001310,partial discharge measurement test requirement,Specify where partial discharge testing of the assembly is required.,Text,40,,,CFIHOS-50000287,partial discharge measurement test,IOGP JIP33 Alignment,
CFIHOS-40001311,transport and storage environmental conditions,Specify if transport and storage conditions are outside those specified as site conditions.,Text,40,,,CFIHOS-50000332,transport and storage environmental conditions,IOGP JIP33 Alignment,
CFIHOS-40001312,equipment integration location,"Specify if the equipment integration site differs from the end usage site, associated transport/logistic options and conditions at the integration site this shall be identified.",Text,40,,,CFIHOS-50000238,equipment integration location,IOGP JIP33 Alignment,
CFIHOS-40001313,purchase order status,The status of the purchase order.,Text,40,,,CFIHOS-50000305,purchase order status,IOGP JIP33 Alignment,
CFIHOS-40001314,number of magnetic poles,The number of magnetic poles in an electrical equipment.,Text,40,,,CFIHOS-50000285,number of magnetic poles,IOGP JIP33 Alignment,
CFIHOS-40001315,power transfer method,The method of power transfer to the driven equipment.,Text,40,,,CFIHOS-50000295,power transfer method,IOGP JIP33 Alignment,
CFIHOS-40001316,standstill period,"Specify when periods of standstill or storage or transport which exceed 6 months are anticipated, as described in IEC 60034-1.",Text,40,,,CFIHOS-50000317,standstill period,IOGP JIP33 Alignment,
CFIHOS-40001317,power supply quality,The total harmonic distortion in the electrical supply for which the equipment shall be rated.,Text,40,,,CFIHOS-50000294,power supply quality,IOGP JIP33 Alignment,
