parent equipment class name,equipment class CFIHOS unique code,equipment class name,equipment class definition,abstract class indicator,spare part information required indicator,equipment class existence reason description,equipment class synonym name
subsea structure,CFIHOS-30000737,subsea guide base,A subsea fixed structure supporting a wellhead.,no,yes,Required by owner-operators,
control valve,CFIHOS-30000738,motor operated valve,An operated valve that is opened and closed with a motor.,no,yes,Required by owner-operators,
other mechanical equipment,CFIHOS-30000739,shear ram,"A shear valve is a ram-type BOP, similar in operation to a gate valve, but uses a pair of opposing steel plungers, rams. The rams extend toward the centre of the wellbore to restrict flow or retract open in order to permit flow.",no,no,Required by owner-operators,
electrical equipment class,CFIHOS-30000740,solar panel,A panel and a photovoltaic module whose main parts are solar cells.,no,yes,Required by owner-operators,
electrical equipment class,CFIHOS-30000741,cold storage unit,"An artefact and a cooling appliance comprising a thermally insulated compartment and a heat pump-chemical or mechanical means-to transfer heat from it to the external environment, cooling the contents to a temperature below ambient.",no,yes,Required by owner-operators,
general instrument,CFIHOS-30000742,calorimeter,Intended to measure quantities of absorbed or evolved heat or to determine specific heats.,no,yes,Required by owner-operators,
general instrument,CFIHOS-30000743,frequency generator,A device that generates an electrical signal of a specified frequency.,no,yes,Required by owner-operators,
general instrument,CFIHOS-30000744,siren,An acoustic device producing a loud sound as a signal or warning.,no,yes,Required by owner-operators,
general instrument,CFIHOS-30000745,current transformer,"An instrument transformer in which the secondary current, in normal conditions of use, is substantially proportional to the primary current and differs in phase from it by an angle which is approximately zero for an appropriate direction of the connections.",no,yes,Required by owner-operators,
general instrument,CFIHOS-30000746,voltage transformer,"An instrument transformer in which the secondary voltage, in normal conditions of use, is substantially proportional to the primary voltage and differs in phase from it by an angle which is approximately zero for an appropriate direction of the connections.",no,yes,Required by owner-operators,
general instrument,CFIHOS-30000747,alarm unit,A physical object that is intended to process and annunciate alarms.,no,yes,Required by owner-operators,
general instrument,CFIHOS-30000748,flow computer,A computer that is specially designed and programme to calculate flow and to correct for external influence.,no,yes,Required by owner-operators,
general instrument,CFIHOS-30000749,sight glass,A physical object that is transparent and intended for viewing a vessel or piping system interior.,no,no,Required by owner-operators,
detecting element,CFIHOS-30000750,rotational speed element,A detecting element that is intended to sense rotational speed.,no,yes,Required by owner-operators,rotational speed sensor
transmitter,CFIHOS-30000751,corrosion transmitter,A transmitter that is producing a standardized output signal dependent of a received input signal from a corrosion sensor.,no,yes,Required by owner-operators,
heat exchanger,CFIHOS-30000752,plate heat exchanger,A heat exchanger using plates as the device for separating the two fluids and across which the energy is transferred.,no,yes,Required by owner-operators,plate and frame heat exchanger
heat exchanger,CFIHOS-30000754,printed circuit heat exchanger,A non-corrugated plate heat exchanger that has flat plates with chemically etched flow passages which are diffusion bonded together into blocks.,no,yes,Required by owner-operators,
heat exchanger,CFIHOS-30000755,shell and tube heat exchanger,A tubular heat exchanger in which a tube bundle is surrounded by a shell.,no,yes,Required by owner-operators,
heat exchanger,CFIHOS-30000756,kettle reboiler,"A reboiler often boils liquid coming from the bottom of a distillation column, after which the resulting vapour is returned to the distillation column.",no,yes,missing from CFIHOS - in other OO RDLs Required by owner-operators,
vessel,CFIHOS-30000757,pneumatic cylinder,A cylinder where the piston is actuated by compressed air.,no,yes,Required by owner-operators,
vessel,CFIHOS-30000758,process reactor,A vessel intended to enable a chemical reaction process.,no,yes,Required by owner-operators,
vessel,CFIHOS-30000759,hopper,A vessel with a conical shape for filling or dosing purposes.,no,yes,Required by owner-operators,
process column,CFIHOS-30000800,absorber column,A column in which a gas mixture is contacted with a liquid for the purpose of preferentially dissolving one or more components of the gas mixture and to provide a solution of them in the liquid.,no,yes,missing from CFIHOS - in other OO RDLs,
electrical connector,CFIHOS-30000801,adaptor connector,An electrical connector that is a fixed or free component that permits electrical connection(s) between two or more connectors where direct connection is mechanically impossible.,no,yes,missing from CFIHOS - in other OO RDLs,
process column,CFIHOS-30000802,adsorber column,A physical fluid separator that is based on the principle of attraction exhibited by the surface of a solid for a liquid or a gas when they are in contact.,no,yes,missing from CFIHOS - in other OO RDLs,
circuit-breaker,CFIHOS-30000803,air circuit-breaker,A circuit-breaker in which the contacts open and close in air at atmospheric pressure.,no,yes,missing from CFIHOS - in other OO RDLs,
electric generator,CFIHOS-30000804,alternating current generator,An electric generator for the production of alternating current and voltage.,no,yes,BP Tagging Specification,AC electric generator; AC generator
electric motor,CFIHOS-30000805,alternating current motor,An electric motor driven by alternating electric current.,no,yes,BP Tagging Specification,AC electric motor;AC induction electric motor;AC synchronous electric motor
control valve,CFIHOS-30000806,ball control valve,A ball valve that is equipped with an actuator that manipulates a stream of fluid in the response to a signal from an external sensing element and with input of energy from an external source.,no,yes,Identified as part of RDL Alignment Activity,actuated ball valve
manual valve,CFIHOS-30000807,ball valve,A rotary valve that has a ball closure member.,no,yes,Identified as part of RDL Alignment Activity,
manual valve,CFIHOS-30000808,block and bleed valve,"A valve that has one seat which provides a seal, and a bleeder line and valve that are tapped into the block valve's bonnet.",no,yes,Identified as part of RDL Alignment Activity,
control valve,CFIHOS-30000809,butterfly control valve,A butterfly valve that is equipped with an actuator that manipulates a stream of fluid in the response to a signal from an external sensing element and with input of energy from an external source.,no,yes,Identified as part of RDL Alignment Activity,actuated butterfly valve
manual valve,CFIHOS-30000810,butterfly valve,"A rotary valve that has a closure member of a disc type with a shaft parallel, or near parallel, to the plane of the disc, with an axis of rotation transverse to the flow direction.",no,yes,Identified as part of RDL Alignment Activity,
control valve,CFIHOS-30000811,choke control valve,A choke valve that is equipped with an actuator that manipulates a stream of fluid in the response to a signal from an external sensing element and with input of energy from an external source.,no,yes,Identified as part of RDL Alignment Activity,actuated choke valve
manual valve,CFIHOS-30000812,choke valve,"A valve that can be used to obstruct the fluid passing inside, and has the ability to reduce the pressure from the inlet port to the outlet port.",no,yes,Identified as part of RDL Alignment Activity,
analysing instrument,CFIHOS-30000813,chromatograph,An analysing instrument that applies the principle of chromatography to analyse the molecular composition of a substance.,yes,no,Owner Operator RDL Alignment,
process column,CFIHOS-30000814,contactor column,A pressure vessel with internal packing intended to effect the main stream by introducing counter flow of a regenerative liquid or gas. Dehydration of gas by use of glycol is a typical application.,no,yes,missing from CFIHOS - in other OO RDLs,
relief valve,CFIHOS-30000815,conventional relief valve,A pressure relief valve that has its closing force provided by a spring.,no,yes,Identified as part of RDL Alignment Activity,conventional pressure safety valve
control valve,CFIHOS-30000817,diaphragm control valve,A diaphragm valve that is equipped with an actuator that manipulates a stream of fluid in the response to a signal from an external sensing element and with input of energy from an external source.,no,yes,Identified as part of RDL Alignment Activity,actuated diaphragm valve
manual valve,CFIHOS-30000818,diaphragm valve,A membrane valve that is a membrane valve where the closure member is a resilient diaphragm being forced against a port.,no,yes,Identified as part of RDL Alignment Activity,
electric generator,CFIHOS-30000819,direct current generator,An electric generator for the production of direct current and voltage.,no,yes,BP Tagging Specification,DC electric generator; DC generator
electric motor,CFIHOS-30000820,direct current motor,An electric motor for operation by direct current.,no,yes,BP Tagging Specification,DC electric motor
process column,CFIHOS-30000821,distillation column,A process column intended to enable a distillation process.,no,yes,missing from CFIHOS - in other OO RDLs,
manual valve,CFIHOS-30000822,double block and bleed valve,"A block and bleed valve that is incorporating two seats, each of which provides a seal, and a means of venting the space between the seats. The seats may isolate with the pressure differential acting in the same or in opposite directions depending on the design.",no,yes,Identified as part of RDL Alignment Activity,
transformer,CFIHOS-30000823,dry transformer,A power transformer of which the magnetic circuit and windings are not immersed in an insulating liquid.,no,yes,missing from CFIHOS - in other OO RDLs,
control valve,CFIHOS-30000824,eccentric rotating disc control valve,"A control valve that uses a rotating disc as closing element, and with a design that causes the disc to take a slightly eccentric path during actuation.",no,yes,Identified as part of RDL Alignment Activity,actuated eccentric rotating disc valve
manual valve,CFIHOS-30000825,eccentric rotating disc valve,A valve that has a closing member which is an eccentric rotating disc.,no,yes,Identified as part of RDL Alignment Activity,
piping purge unit,CFIHOS-30000826,electric piping purge unit,An electrically controlled piping system that is situated within the frame and distributes purge gas inside the frame.,no,yes,missing from CFIHOS - in other OO RDLs,
heat exchanger,CFIHOS-30000827,finned tube heat exchanger,A heat exchanger that has finned tubes.,no,yes,missing from CFIHOS - in other OO RDLs,
riser,CFIHOS-30000828,flexible riser,A flexible vertical or near vertical pipe for the flow of liquid or gas between the seabed and the surface.,no,yes,missing from CFIHOS - in other OO RDLs,
instrument equipment,CFIHOS-30000829,flow meter,A detecting instrument intended to measure and indicate flow rate and/or produce a signal which represents the measured flow rate.,yes,no,Owner Operator RDL Alignment,
flying lead,CFIHOS-30000830,flying chemical lead,ROV or diver-mateable flexible leads between subsea equipment items for chemical services.,no,yes,missing from CFIHOS - in other OO RDLs,
flying lead,CFIHOS-30000831,flying electrical lead,ROV or diver-mateable flexible leads between subsea equipment items for electrical services.,no,yes,missing from CFIHOS - in other OO RDLs,
flying lead,CFIHOS-30000832,flying hydraulic lead,ROV or diver-mateable flexible leads between subsea equipment items for hydraulic services.,no,yes,missing from CFIHOS - in other OO RDLs,
flying lead,CFIHOS-30000833,flying optical lead,ROV or diver-mateable flexible leads between subsea equipment items for optical services.,no,yes,missing from CFIHOS - in other OO RDLs,
chromatograph,CFIHOS-30000834,gas chromatograph,A chromatograph where gas is injected directly into one or more separation columns.,no,yes,Owner Operator RDL Alignment,
chromatograph,CFIHOS-30000835,gas liquid chromatograph,A chromatograph where a liquid sample is injected and evaporated and subsequently carried to one or more separation columns.,no,yes,Owner Operator RDL Alignment,liquid chromatograph
circuit-breaker,CFIHOS-30000836,gas-blast circuit-breaker,A circuit-breaker in which the arc develops in a blast of gas.,no,yes,missing from CFIHOS - in other OO RDLs,gas circuit-breaker; gas circuit breaker
control valve,CFIHOS-30000837,gate control valve,A control valve that is a gate valve and an actuated valve.,no,yes,Identified as part of RDL Alignment Activity,actuated gate valve
manual valve,CFIHOS-30000838,gate valve,"A valve that is a valve where the closure member is a gate or disc with a linear motion parallel, or nearly parallel, to the plane of flat seats, which are transverse to the direction of flow.",no,yes,Identified as part of RDL Alignment Activity,
control valve,CFIHOS-30000839,globe control valve,A control valve that is a globe valve and an actuated valve.,no,yes,Identified as part of RDL Alignment Activity,actuated globe valve
manual valve,CFIHOS-30000840,globe valve,A valve that is a valve where the closure member is a disc or piston operating with linear motion normal to the flat or shaped seat.,no,yes,Identified as part of RDL Alignment Activity,
separator,CFIHOS-30000841,gravity separator,A separator that is based on the difference in specific gravity for the substances to be separated.,no,no,missing from CFIHOS - in other OO RDLs,
piping purge unit,CFIHOS-30000842,hydraulic piping purge unit,A hydraulically controlled piping system that is situated within the frame and distributes purge gas inside the frame.,no,yes,missing from CFIHOS - in other OO RDLs,
turbine,CFIHOS-30000843,hydraulic turbine,A turbine in which liquid forces are driving the rotor by the reaction of acceleration of subject liquid flow in the runner while the pressure drops.,no,yes,"BP Reliability, TOTAL Physical Class",liquid expander
corrosion element,CFIHOS-30000844,linear polarization resistance element,A detecting element intended to measure corrosion using electrical conductivity.,no,yes,Requested by Total,LPR corrosion probe
general instrument,CFIHOS-30000847,manual switch,A switch which is operated by a person.,no,yes,,
control valve,CFIHOS-30000848,multiple orifice on-off valve,A valve not designed to regulate flow (e.g. on/off). A valve with multiple orifices or flow-restriction device to control fluid flow. Includes an actuator that needs auxiliary power to operate.,no,yes,Identified as part of RDL Alignment Activity,multiple orifice valve
control valve,CFIHOS-30000849,multiport on-off valve,A valve not designed to regulate flow (e.g. on/off). A multi port valve which has the possibility of multiple distinct paths for flow through it. Includes an actuator that needs auxiliary power to operate.,no,yes,Identified as part of RDL Alignment Activity,multi port on-off valve
manual valve,CFIHOS-30000850,multiport valve,A valve that has three or more ports arranged to switch flow.,no,yes,Identified as part of RDL Alignment Activity,multi port valve
control valve,CFIHOS-30000851,needle control valve,A needle valve that is equipped with an actuator that manipulates a stream of fluid in the response to a signal from an external sensing element and with input of energy from an external source.,no,yes,Identified as part of RDL Alignment Activity,actuated needle valve
manual valve,CFIHOS-30000852,needle valve,A globe valve that has a closure member with the shape of a conical plug (needle) which closes into a small seat.,no,yes,Identified as part of RDL Alignment Activity,
transmitter,CFIHOS-30000853,nucleonic level transmitter,A level transmitter that is producing a standardized electrical output signal based on the input signal from a nucleonic level detector.,no,yes,Owner Operator RDL Alignment,nuclear level transmitter
circuit-breaker,CFIHOS-30000854,oil circuit-breaker,A circuit-breaker in which the contacts open and close in oil.,no,yes,missing from CFIHOS - in other OO RDLs,liquid circuit-breaker; liquid circuit breaker
corrosion element,CFIHOS-30000855,oxidation reduction potential element,An element designed to measure an oxidation reduction potential (ORP).,no,yes,,ORP element; electrical resistance element
relief valve,CFIHOS-30000856,pilot operated relief valve,A pressure relief valve that uses a pilot valve to indirectly activate the main valve.,no,yes,Identified as part of RDL Alignment Activity,pilot operated pressure safety valve
check valve,CFIHOS-30000857,piston check valve,A lift check valve that has a free gravity or spring loaded piston type closure member.,no,yes,Identified as part of RDL Alignment Activity,
flow element,CFIHOS-30000858,pitot tube flow meter,A differential pressure flow meter utilizing a pitot tube (a probe with an open tip) that is inserted into the flow field.,no,yes,Owner Operator RDL Alignment,pitot tube flow element
control valve,CFIHOS-30000859,plug control valve,A control valve that is also a plug valve and an actuated valve.,no,yes,Identified as part of RDL Alignment Activity,actuated plug valve
manual valve,CFIHOS-30000860,plug valve,A rotary valve that has a quarter turn action in which the closure member is a cylindrical or tapered plug which operates by rotating on its axis and sealing against a downstream seat.,no,yes,Identified as part of RDL Alignment Activity,
relief valve,CFIHOS-30000861,pressure-vacuum relief valve,A pressure relief valve that is intended to release excess pressure or admit pressure to prevent a vacuum forming when filling or emptying a pipeline or tank.,no,yes,Identified as part of RDL Alignment Activity,
pump,CFIHOS-30000862,reciprocating pump,"A positive displacement pump which contains a displacing element intended to be moved in a reciprocating movement to exert pressure on a fluid, typically moving within a cylindrical space.",no,yes,BP Reliability,
riser,CFIHOS-30000863,rigid riser,A rigid vertical or near vertical pipe for the flow of liquid or gas between the seabed and the surface.,no,yes,missing from CFIHOS - in other OO RDLs,
pump,CFIHOS-30000864,rotary pump,"A positive displacement pump that consists of a chamber containing gears, cams, screws, vanes, plungers or similar elements actuated by relative rotation of the drive shaft or casing and which has no separate inlet and outlet valves.",no,yes,BP Reliability,
control valve,CFIHOS-30000865,slide control valve,A slide valve that is equipped with an actuator that manipulates a stream of fluid in the response to a signal from an external sensing element and with input of energy from an external source.,no,yes,Identified as part of RDL Alignment Activity,actuated slide valve
manual valve,CFIHOS-30000866,slide valve,A valve that opens and closes a passageway by sliding over a port.,no,yes,Identified as part of RDL Alignment Activity,
heat exchanger,CFIHOS-30000867,spiral heat exchanger,A container intended for storage and/or processing of fluids. Relates to Spiral Plate Heat Exchanger.,no,yes,missing from CFIHOS - in other OO RDLs,
distillation column,CFIHOS-30000868,stabilizer column,A column which transforms a material from an unstable state to a more stable state; for fluids typically by removing volatile components from a mixture.,no,yes,missing from CFIHOS - in other OO RDLs,
distillation column,CFIHOS-30000869,stripper column,A distillation column intended to remove light components from a fluid.,no,yes,missing from CFIHOS - in other OO RDLs,
electrical connector,CFIHOS-30000870,submersible connector,An electrical connector capable of withstanding submersion to a specified depth.,no,yes,match tag and equipment classes,
check valve,CFIHOS-30000873,swing check valve,A check valve that is a check valve where the closure member is a disc which swings freely on a hinge and which opens automatically when flow is established and closes automatically when flow ceases or is reversed.,no,yes,Identified as part of RDL Alignment Activity,axial flow check valve
circuit-breaker,CFIHOS-30000874,vacuum circuit-breaker,A circuit-breaker in which the contacts open and close within a highly evacuated envelope.,no,yes,missing from CFIHOS - in other OO RDLs,vacuum circuit breaker
distillation column,CFIHOS-30000875,vacuum column,A distillation column intended to withstand outside pressure.,no,yes,missing from CFIHOS - in other OO RDLs,
check valve,CFIHOS-30000876,wafer check valve,A wafer pattern valve that is a check valve with a wafer pattern valve body.,no,yes,Identified as part of RDL Alignment Activity,
transformer,CFIHOS-30000877,wet transformer,A power transformer of which the magnetic circuit and windings are immersed in oil.,no,yes,missing from CFIHOS - in other OO RDLs,
IT and telecom equipment,CFIHOS-30000878,acoustic enclosure,An enclosure that totally or partially surrounds an item in order to reduce its emitted noise.,no,yes,Requested by bp as part of owner operators alignment,
piping and pipeline equipment,CFIHOS-30000879,air trap,"A trap which, by a water seal, prevents foul air from rising from sinks, wash basins, drains, sewers etc.",no,yes,Requested by bp as part of owner operators alignment,
marine,CFIHOS-30000881,barge,"A large flat-bottomed boat that is built for carrying goods and people on rivers and canals or in harbours, with or without sails, towed by a tug or horse. Also a similar boat with its own engine.",no,yes,Requested by bp as part of owner operators alignment,
electrical equipment class,CFIHOS-30000882,constant volume regulator,A regulator ensuring constant volume in a HVAC system to reduce noise,no,yes,Requested by bp as part of owner operators alignment,
other mechanical equipment,CFIHOS-30000883,cooling coil,A pipe coil in which heat is transferred from the material or space cooled to the primary refrigerant.,no,yes,Requested by bp as part of owner operators alignment,
lifting device,CFIHOS-30000885,davit,"A physical object intended to carry the load of equipment that is regularly lifted or launched, like a life boat, or of equipment that regularly is removed for inspection or maintenance, such as covers, hatches, etc.",no,yes,Requested by bp as part of owner operators alignment,
"health, safety and environment equipment class",CFIHOS-30000886,descent device,A device that provides a safe and rapid method of descent in case of an emergency situation requiring evacuation.,no,yes,Requested by bp as part of owner operators alignment,
piping and pipeline equipment,CFIHOS-30000887,drain port,"A drain port is a collection port that can be installed in pressure sensing lines for transmitters, steam lines, etc. to be able to remove liquids from the system that otherwise would create problems for the instruments.",no,yes,Requested by bp as part of owner operators alignment,
piping and pipeline equipment,CFIHOS-30000888,drain pot,A 'liquid outlet port' that allows liquid to leave a container under gravity,no,yes,Requested by bp as part of owner operators alignment,
electrical equipment class,CFIHOS-30000889,electrical control panel,A 'control panel' intended for electrical apparatus.,no,yes,CFIHOS definition of control panel is limited to instruments,lighting panel
"health, safety and environment equipment class",CFIHOS-30000890,emergency grab bag,A artefact that is a an assembly of items required in the case of an emergency contained in a bag or some other container.,no,yes,Requested by bp as part of owner operators alignment,
other mechanical equipment,CFIHOS-30000891,evaporator,A heat exchanger that is intended to evaporate moisture or solvents in order to obtain a concentrate.,no,yes,Requested by bp as part of owner operators alignment,
other mechanical equipment,CFIHOS-30000892,expansion device,"A pressure decrease device where the lower pressure is obtained by causing something to occupy or contain a larger space, or by acquiring greater volume.",no,yes,Requested by bp as part of owner operators alignment,
miscellaneous equipment,CFIHOS-30000893,fitness equipment,An 'equipment class' that is a class of devices whose members can be used in a fitness centre.,no,yes,Requested by bp as part of owner operators alignment,
other mechanical equipment,CFIHOS-30000894,furnace,A physical object that is intended to induce a reaction in a process fluid by heating it.,no,yes,Requested by bp as part of owner operators alignment,
detector,CFIHOS-30000895,H2S detector,A personal H2S monitor is a device that detects the presence of hydrogen sulphide.,no,yes,Requested by bp as part of owner operators alignment,
other mechanical equipment,CFIHOS-30000896,heating coil,A fluid heater that is a coiled tube where heat is transferred from an internal heating medium to a surrounding substance.,no,yes,Requested by bp as part of owner operators alignment,
infrastructure,CFIHOS-30000898,lagoon,A lagoon or aerated basin is a holding and/or treatment pond provided with artificial aeration to promote the biological oxidation of wastewaters.,no,no,Requested by bp as part of owner operators alignment,
"health, safety and environment equipment class",CFIHOS-30000899,life jacket,A lifejacket is a type of personal flotation device designed to keep a persons airway clear of the water whether the wearer is conscious or unconscious.,no,yes,Requested by bp as part of owner operators alignment,
"health, safety and environment equipment class",CFIHOS-30000900,line throwing appliance,An artefact that is intended to pass a line accurately and quickly.,no,yes,Requested by bp as part of owner operators alignment,
marine,CFIHOS-30000902,marine vessel,A vessel larger than a boat for transporting people or goods by sea,no,yes,Requested by bp as part of owner operators alignment,
IT and telecom equipment,CFIHOS-30000903,meteorological equipment,An 'equipment class' that is a class of devices engaged in meteorological observations.,no,yes,Requested by bp as part of owner operators alignment,
instrument equipment,CFIHOS-30000904,metering station,"A device that is capable of three-phase metering of liquid, oil and gas.",no,yes,Requested by bp as part of owner operators alignment,
other mechanical equipment,CFIHOS-30000905,modulating damper,A gas flow damper that is able to stay in any position between fully open and fully closed.,no,yes,Requested by bp as part of owner operators alignment,
infrastructure,CFIHOS-30000907,outfall,"An outfall is the discharge point of a waste stream into a body of water; alternatively it may be the outlet of a river, drain or a sewer where it discharges into the sea, a lake or the like.",no,no,Requested by bp as part of owner operators alignment,
lifting device,CFIHOS-30000908,pedestal,A support-item that is the base or foot of a column or other upright structure.,no,yes,Requested by bp as part of owner operators alignment,
"health, safety and environment equipment class",CFIHOS-30000909,protective suit,"A survival suit (or more specifically an immersion survival suit), is a special type of waterproof dry suit that protects the wearer from hypothermia from immersion in cold water, after abandoning a sinking or capsized vessel, especially in the open ocean",no,yes,Requested by bp as part of owner operators alignment,
detector,CFIHOS-30000910,radiation detector,A personal radiation monitor is a device that detects the presence of any radiation sources.,no,yes,Requested by bp as part of owner operators alignment,
other mechanical equipment,CFIHOS-30000911,recuperator heat exchanger,"A recuperator is a special purpose counter-flow energy recovery heat exchanger positioned within the supply and exhaust air streams of an air handling system, or in the exhaust gases of an industrial process, in order to recover the waste heat.",no,yes,Requested by bp as part of owner operators alignment,
vehicle,CFIHOS-30000913,road compactor,"A machine used to compact soil, gravel, concrete, or asphalt in the construction of roads and foundations",no,yes,Requested by bp as part of owner operators alignment,
vehicle,CFIHOS-30000914,road sweeper,A machine that cleans the road,no,yes,Requested by bp as part of owner operators alignment,
drilling equipment,CFIHOS-30000915,rotary table,A 'well drilling system' and an 'artefact' in which the torque is transferred to the drill string using rotary table and kelly.,no,yes,Requested by bp as part of owner operators alignment,
"health, safety and environment equipment class",CFIHOS-30000916,safety display plan,An information object that indicates the location of safety signs and other relevant safety information.,no,no,Requested by bp as part of owner operators alignment,
"health, safety and environment equipment class",CFIHOS-30000917,safety sign,An information object with a symbol representing some hazard or safety information.,no,no,Requested by bp as part of owner operators alignment,
drilling equipment,CFIHOS-30000919,slips,A physical object that consists of wedge-shaped pieces of metal loosely joined together and fitted into a bushing to support a string of pipe. The slips have gripping elements to prevent the pipe from slipping down the drilling hole.,no,yes,Requested by bp as part of owner operators alignment,
"health, safety and environment equipment class",CFIHOS-30000921,stretcher,"An artefact which is a framework of poles, canvas, etc. for carrying a sick, injured or wounded person.",no,yes,Requested by bp as part of owner operators alignment,
"health, safety and environment equipment class",CFIHOS-30000922,strobe light,A 'luminaire' used to produce regular flashes of light.,no,yes,Requested by bp as part of owner operators alignment,
subsea infrastructure,CFIHOS-30000923,subsea cable,An electric cable intended for underwater installation,no,yes,Requested by bp as part of owner operators alignment,
instrument equipment,CFIHOS-30000925,system panel,An instrument panel dedicated to a particular system.,no,yes,Requested by bp as part of owner operators alignment,
drilling equipment,CFIHOS-30000927,top drive,A top drive is a mechanical device on a drilling rig that provides clockwise torque to the drill string to facilitate the process of drilling a borehole.,no,yes,Requested by bp as part of owner operators alignment,
vehicle,CFIHOS-30000929,tractor,"A machine designed to deliver a high tractive effort (or torque) at slow speeds, for the purposes of hauling a trailer or machinery",no,yes,Requested by bp as part of owner operators alignment,
piping and pipeline equipment,CFIHOS-30000930,turret,Equipment installed subsea related to a ships turret system,no,yes,Requested by bp as part of owner operators alignment,
"health, safety and environment equipment class",CFIHOS-30000931,twin agent skid,A skid assembly that supports a Twin Agent Fire Extinguishing System (TAFES).,no,yes,Requested by bp as part of owner operators alignment,
other mechanical equipment,CFIHOS-30000933,ventilator,"A ventilator is a machine designed to mechanically move breathable air into and out of the lungs, to provide the mechanism of breathing for a patient who is physically unable to breathe, or breathing insufficiently.",no,yes,Requested by bp as part of owner operators alignment,
"health, safety and environment equipment class",CFIHOS-30000934,water mist skid,A skid assembly containing the units required to operate a water mist system.,no,yes,Requested by bp as part of owner operators alignment,
infrastructure,CFIHOS-30000935,window,A device which is an opening especially in the wall of a building for admission of light and air that is usually closed by casements or sashes containing transparent material (as glass),no,no,Requested by bp as part of owner operators alignment,
infrastructure,CFIHOS-30000936,bridge bearing,A device to permit relative movement between a bridge and its support generally requiring periodic inspection and maintenance,no,yes,Requested by bp as part of owner operators alignment,
electrical equipment class,CFIHOS-30000937,cable tray,A unit or assembly of units or sections and associated fittings forming a rigid structural system used to securely fasten or support cables and raceways.,no,yes,Requested by bp as part of owner operators alignment,
piping and pipeline equipment,CFIHOS-30000938,casing,An enclosure that can maintain a pressure difference.,no,yes,Requested by ExxonMobil as part of owner operators alignment,
lifting device,CFIHOS-30000939,container,A physical object intended to contain something.,no,yes,Requested by bp as part of owner operators alignment,
other mechanical equipment,CFIHOS-30000940,crusher,A mill that uses pressure or impact to reduce the particle size of solid materials.,no,yes,Requested by bp as part of owner operators alignment,
other mechanical equipment,CFIHOS-30000942,hydraulic power unit,A unit minimum consisting of a engine driven hydraulic pump and a reservoir which is delivering hydraulic energy to one or more consumers,no,yes,Requested by ExxonMobil as part of owner operators alignment,
general instrument,CFIHOS-30000943,interface card,"A distribution board (network card) that is intended for communication between systems, to part of a system or to a computer network.",no,yes,Requested by bp as part of owner operators alignment,input-output circuit board; network card
piping and pipeline equipment,CFIHOS-30000944,lightning arrestor,A lightning arrestor is a device used on electric power systems and telecommunication systems to protect the insulation and conductors of the system from the damaging effects of lightning.,no,yes,Requested by ExxonMobil as part of owner operators alignment,
detecting element,CFIHOS-30000945,meteorological sensor,An 'equipment class' that is a class of devices engaged in meteorological observations,no,yes,Requested by bp as part of owner operators alignment,
piping and pipeline equipment,CFIHOS-30000946,pipe reducer,"An 'artefact' that has different nominal pipe size at the two ends, intended to connect pipes or piping components.",no,yes,Requested by ExxonMobil as part of owner operators alignment,
piping and pipeline equipment,CFIHOS-30000948,sample bomb,A cylinder that is specially designed to collect and store high pressure gas samples from the field & transport the same to laboratories,no,yes,Requested by ExxonMobil as part of owner operators alignment,
piping and pipeline equipment,CFIHOS-30000949,sample cooler,A 'cooling device' that is intended for cooling a sample.,no,yes,Requested by ExxonMobil as part of owner operators alignment,
piping and pipeline equipment,CFIHOS-30000950,segment,A feature which is each of several parts into which a thing is or can be divided or marked off.,no,yes,Requested by ExxonMobil as part of owner operators alignment,
IT and telecom equipment,CFIHOS-30000951,signal receiver,"A physical object that is capable of receiving a signal and where the signal can be stored, recorded or converted into a useful form.",no,yes,Requested by ExxonMobil as part of owner operators alignment,
piping and pipeline equipment,CFIHOS-30000952,sleeve,"A sleeve or pipe of larger diameter installed around a pipeline, intended to protect or guide",no,yes,Requested by ExxonMobil as part of owner operators alignment,
subsea equipment class,CFIHOS-30000953,subsea power and communication unit,A topside unit providing electrical power and communications to the subsea control and monitoring equipment,no,yes,Requested by ExxonMobil and Total as part of owner operators alignment,
subsea equipment class,CFIHOS-30000954,subsea suction pile,Suction piles are a form of fixed platform anchor in the form of an open bottomed tube embedded in the sediment and sealed at the top while in use so that lifting forces generate a pressure differential which holds the caisson down,no,yes,Requested by ExxonMobil as part of owner operators alignment,
piping and pipeline equipment,CFIHOS-30000955,tap,A fluid regulator that controls the flow of liquid or gas from a pipe or container. Taps are often attached to a sink or bath.,no,yes,Requested by ExxonMobil as part of owner operators alignment,
piping and pipeline equipment,CFIHOS-30000956,tree cap,A tree cap is a barrier to keep the subsea environment clean in case of any leaks above the annulus or production swab valves. It includes a mechanism to indicate the metal seals have been set within the seal bore of subsea tree.,no,yes,Requested by ExxonMobil as part of owner operators alignment,
electrical equipment class,CFIHOS-30000957,voltage regulator,A regulator designed to automatically maintain a constant voltage level.,no,yes,Requested by ExxonMobil as part of owner operators alignment,voltage regulator diode
wall,CFIHOS-30000958,balustrade,"A railing or wall to provide a protective edge to prevent people from falling over the edge of stairs, a roof or mezzanine work area.",no,no,,
infrastructure,CFIHOS-30000959,bay,A compartment or area within a building with a specified function.,no,no,,
infrastructure,CFIHOS-30000960,buffers,"An engineering dampening device to provide a controlled end stop for vehicles , trolleys or cranes and associated equipment in motion.",no,no,,
