Source standard document and data requirement CFIHOS unique code,tag class CFIHOS unique code,tag class name,source standard CFIHOS unique code,source standard code,source standard document and data requirement number,source standard document and data requirement title,source standard document and data requirement typical deliverable,source standard document and data requirement description,source standard document and data requirement comment,document and data requirement type code,document and data requirement group code,engineering standard source chapter,discipline CFIHOS unique code,discipline name,document type CFIHOS unique code,document type name,default submit at proposal indicator,default submit for review indicator,default submit at delivery indicator,default issue for review number of weeks,default issue for review reference date,default issue for approval number of weeks,default issue for approval reference date,default for information number of weeks,default for information reference date,default required handover status code,default required translation indicator,deliverable format code
CFIHOS-68001823,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-26,"Handling, shipping, storage and preservation procedure","Handling, shipping and storage procedure","Definition of practices to be followed during the; storage, transport, lifting and preservation of the equipment and materials included in the scope of supply to maintain their functionality and guarantees. Procedures typically define: a) Packaging requir",,equipment,contract management information deliverables,"8.4.3.1, 8.4.3.7",,,CFIHOS-70000154,"handling, shipping, storage procedure",No,No,Yes,,,,,,,,,PDF
CFIHOS-68001824,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-27,Non-conformance records,Non-conformance records,Details of non-conformances raised by or to the vendor/sub-vendors against technical requirements prior to or during the delivery of the products or services. Non-conformance is managed by the vendor in accordance with ISO 9001 Clause 8.7 and associated r,,equipment,contract management information deliverables,IOGP S-615:2023,,,CFIHOS-70000226,non conformance report,No,Yes,No,,,,,,,,,PDF
CFIHOS-68001825,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-28,Concession requests,Concession request,"Formal submission seeking purchaser agreement to accept deviations from the contracted scope or technical requirements. Requests may be raised as a result of, as examples, material or service availability, obsolescence, innovation, non-conformance. Reques",,equipment,contract management information deliverables,IOGP S-615:2023,,,CFIHOS-70000389,technical deviation request,No,Yes,No,,,,,,,,,PDF
CFIHOS-68001826,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-29,Pump performance curves,Curves and tables calculations,"As per the requirements of L.2.4 of API Standard 610, with the addition, as applicable, of the following: - all duty points, including the guarantee point; - all pump performance curves shall be based on running clearances selected by the vendor inclusive",,equipment,technical information deliverables,"6.1.13, 6.1.14, 6.1.15, 6.1.16, 6.1.4, 6.1.5, 8.3.3.4.6, 9.3.1.1, L2.4 paragraph 1 bullet a, L2.4 paragraph 1 bullet b, L2.4 paragraph 1 bullet c, L2.4 paragraph 1 bullet d, L2.4 paragraph 1 bullet e, L2.4 paragraph 1 sentence 1, L2.4 paragraph 1 sentence",,,CFIHOS-70000449,performance report,Yes,Yes,No,,,,,,,,,PDF
CFIHOS-68001827,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-30,Noise data sheet,Noise data sheet,"For proposal: predicted overall package noise data including any noise attenuation devices (if included in the vendor's scope).For acceptance: noise data sheets including individual pump, driver, gear (if any) and auxiliary equipment octave band centre fr",,equipment,technical information deliverables,"6.1.19, 6.1.19.2, L.3.6.1, L.3.6.2, L2.3.2 paragraph 1 bullet b",,,CFIHOS-70000225,noise datasheet,Yes,No,Yes,,,,,,,,,PDF
CFIHOS-68001828,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-33,Shaft and rotor total indicator (TIR) reading certificates,General certificate,"Certificates detailing all shaft run-out checks, including phase relation for each displacement probe location on pumps, motors, steam turbines and gear units.",,equipment,technical information deliverables,"6.6.10, 6.6.9, 7.1.8, 9.2.2.4, 9.3.12.2, 9.3.3.1, Figure 36, Table 17",,,CFIHOS-70000239,general certificate,No,No,No,,,,,,,,,PDF
CFIHOS-68001829,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-34,Wear part running clearance certificates,General certificate,Certificates detailing all as-built close clearances and those specified at purchase.,,equipment,technical information deliverables,"6.7.5, 8.2.1.1, L.3.6.1, Table 6",,,CFIHOS-70000239,general certificate,No,No,No,,,,,,,,,PDF
CFIHOS-68001830,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-35,Torsional critical speed analysis,Torsional critical speed analysis,"As per the requirements of section 6.9.2.8 of API Standard 610 when only a steady-state, undamped torsional analysis is performed as per the requirements of sections 6.9.2.9 through 6.9.2.13 of API Standard 610 when either a steady-state forced response a",,equipment,technical information deliverables,"6.9.2.10, 6.9.2.11, 6.9.2.12, 6.9.2.13, 6.9.2.3, 6.9.2.4, 6.9.2.6, 6.9.2.7, 6.9.2.8, 6.9.2.9, L.3.6.1",,,CFIHOS-70000449,performance report,No,Yes,No,,,,,,,,,PDF
CFIHOS-68001831,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-36,Performance and mechanical run test data,Test report,"As per the requirements of sections L.3.6.1 u) together with sections 6.9.4, 6.10.2.7, 8.3.3, 8.3.4 and C.4 of API Standard 610/S-615.",,equipment,technical information deliverables,"6.1.22, 6.10.2.7, 8.3.3.3.1, 8.3.3.4.3, 8.3.3.4.5, 8.3.3.6.2, 8.3.3.7, 8.3.3.8.1, 8.3.3.8.2, 8.3.4.2.1, 9.3.9.1, 6.9.4.2, 6.9.4.3, 6.9.4.4, 6.9.4.5, 6.9.4.6, 6.9.4.7, 6.9.4.8, 6.9.4.9, 8.2.1.1, 8.3.1.2, 8.3.1.4, 8.3.1.5, 8.3.3.2, 8.3.3.2.1, 8.3.3.2.2, 8.3",,,CFIHOS-70000245,inspection report,No,Yes,No,,,,,,,,,PDF
CFIHOS-68001832,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-37,Rotating component balancing certificates,General certificate,The certificate to be provided by the manufacturer recording the results of the balancing of all rotating elements to the specified grade in accordance with the purchaser accepted balancing procedure. To include residual unbalance check.,,equipment,technical information deliverables,"8.3.3.8.1, 8.3.3.8.2, 6.12.1.10, 6.12.1.11, 6.9.3.1, 6.9.3.2, 6.9.3.3, 6.9.3.4, 6.9.3.5, 7.2.2, 9.1.3.6, 9.2.4.2.1, 9.2.4.2.2, 9.2.4.2.3, 9.2.4.2.4, Figure 30, Table 19",,,CFIHOS-70000239,general certificate,No,No,No,,,,,,,,,PDF
CFIHOS-68001833,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-38,Non-destructive examination records,Non-destructive examination (NDE) report,"Detailed non-destructive examination reports describing procedure used, results obtained and action for visual, radiographic, ultrasonic, magnetic particle, and dye-penetrant examinations. Reports shall be signed and dated by an authorized operator and id",,equipment,technical information deliverables,"6.12.3.3, 6.12.3.4, 6.12.3.4.1, 6.4.3.10, 8.2.2.1, 8.2.2.2, 8.2.2.3.1, 8.2.2.3.2, 8.2.2.3.3, 8.2.2.4, 8.2.2.5, 9.3.2.5, 9.3.2.6, Table 11, Table 15",,,CFIHOS-70000446,non destructive test report,No,No,No,,,,,,,,,PDF
CFIHOS-68001834,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-39,Material certificates,Materials inspection certificate (3.1),"Certificate type shall be as required by the QRS/project requirements. Material test certificates shall include as a minimum chemical analysis, mechanical test results and heat treatment condition, sour service when specified in the procurement data sheet",,equipment,technical information deliverables,"6.12.1.8, 6.12.3.4, 8.2.1.1, L.3.6.1, Table H.2, Table H.4",,,CFIHOS-70000412,material certificate,No,Yes,No,,,,,,,,,PDF
CFIHOS-68001835,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-40,Weld procedures and procedure qualification records,Welding procedure qualification record,"Factory and foundry WPSs and PQRs proposed for each different weld and materials. For proposed major weld repairs, weld repair maps showing location and major dimensions of weld repair cavities, qualification records, drawings, photographs, heat treatment",Owners approval required for major weld repair procedures,equipment,technical information deliverables,"6.12.2.5, 6.12.3.1, 6.4.3.10, 6.6.15.1, L.3.6.1, Table 11",,,CFIHOS-70000362,welding procedure qualification,No,No,No,,,,,,,,,PDF
CFIHOS-68001836,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-41,Surface preparation and painting inspection certificates,Painting and coating inspection records,"Certification confirming that the unpainted equipment meets the visual requirements of MSS SP-55.Certificate to include purchaser's PO number; item or tag number, and shall verify that painting and/or insulation is in accordance with the purchaser's speci",Information required to ensure surface preparation and painting comply with the specified requirements,equipment,technical information deliverables,"9.3.8.3.2, 6.12.2.1, 7.4.16, 8.4.3.4",,,CFIHOS-70000245,inspection report,No,No,No,,,,,,,,,PDF
CFIHOS-68001837,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-42,Casting major weld repair records,Weldability test report,Records to include: defect map and records to confirm defect type and location; NDT reports to confirm defect removal; WPS & qualification records used for repair; welding records to verify welder qualification and weld repair procedure parameter conforma,,equipment,technical information deliverables,"6.12.2.5, 8.2.1.1, Table 11",,,CFIHOS-70000245,inspection report,No,Yes,No,,,,,,,,,PDF
CFIHOS-68001838,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-43,Welders qualifications,Welder qualification certificate,"Qualification of all welders or welding operators using approved weld procedures and by weld position in accordance with project specifications. Welders name, identification and positions to be recorded to code requirements with approval by third party in",,equipment,technical information deliverables,"6.12.2.5, 6.12.3.1, 6.4.3.10, 6.6.15.1, Table 11",,,CFIHOS-70000413,welder qualification certificate,No,No,No,,,,,,,,,PDF
CFIHOS-68001839,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-44,Heat treatment certificates,Heat treatment records,Scanned Original or wet stamped verified copies of pyrometric charts or certificates confirming the heat treatment cycles have been conducted to the purchaser's/material specification's requirements. To include charts for any heat treatment conducted such,,equipment,technical information deliverables,"6.12.2.5, 6.12.3.3, 6.12.1.14.1, 6.12.3.4, 6.4.3.10, 8.2.1.1, Table 11",,,CFIHOS-70000423,heat treatment records,No,No,No,,,,,,,,,PDF
CFIHOS-68001840,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-45,Nameplate drawing,Name plate drawing,Nameplate data content is to be as per API Standard 610/S-615 section 6.13.2. Nameplate language per PO.,,equipment,technical information deliverables,6.13.2,,,CFIHOS-70000445,name plate diagram,No,Yes,No,,,,,,,,,PDF
CFIHOS-68001841,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-46,Baseplate flatness and coplanarity certificates,General certificate,Certification confirming that all the machinery mounting pads of the baseplate have been fully machined flat and parallel to each other per the requirements of API Standard 610.,,equipment,technical information deliverables,"7.4.8, 9.3.8.3.1",,,CFIHOS-70000239,general certificate,No,No,No,,,,,,,,,PDF
CFIHOS-68001842,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-49,Positive material identification certificates,Positive material identification (PMI) records,Certification that the alloying element percentages of materials subject to verification are in accordance with the proposed recognised material specification.,,equipment,technical information deliverables,"8.2.2.8, 6.4.3.10",,,CFIHOS-70000245,inspection report,No,No,Yes,,,,,,,,,PDF
CFIHOS-68001843,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-50,Performance and mechanical run test procedures,Factory acceptance test (FAT) procedure,"Procedure for performance and mechanical run testing as per the requirements of sections 6.9.4, 6.10.2.7, 8.1.1, 8.3.1, 8.3.3, 8.3.4, 9.3.9 and C.4 of API Standard 610/S-615 with the following change:- add description of the test setup and instrumentation",,equipment,technical information deliverables,"6.1.22, 6.10.2.7, 7.2.2, 8.3.3.3.1, 8.3.3.4.3, 8.3.3.4.5, 8.3.3.4.6 , 8.3.3.6.2, 8.3.3.7, 8.3.3.8.1, 8.3.3.8.2, 8.3.4.2.1, 9.3.9.1, 6.9.4.2, 6.9.4.3, 6.9.4.4, 6.9.4.5, 6.9.4.6, 6.9.4.7, 6.9.4.8, 6.9.4.9, 8.2.1.1, 8.3.1.2, 8.3.1.4, 8.3.1.5, 8.3.3.2, 8.3.3.",,,CFIHOS-70000427,factory acceptance test procedure,No,No,Yes,,,,,,,,,PDF
CFIHOS-68001844,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-51,Optional test procedures,Factory acceptance test (FAT) procedure,Procedures for all optional tests {NPSH required or minimum submergence testing (vertically submerged pumps) in lieu of NPSH required test if it is more restrictive; complete unit test; sound level test; auxiliary equipment test; bearing housing resonance,,equipment,technical information deliverables,"6.1.22, 6.10.2.7, 9.2.7.4, 9.3.9.1, 7.4.23, 7.4.24, 8.2.1.1, 8.3.1.2, 8.3.1.4, 8.3.1.5, 8.3.3.9, 8.3.4.1, 8.3.4.3.2, 8.3.4.3.3, 8.3.4.3.4, 8.3.4.3.5, 8.3.4.3.6, 8.3.4.3.7, 8.3.4.4.1, 8.3.4.4.2, 8.3.4.5, 8.3.4.6, 8.3.4.7, 8.3.4.7.1, 8.3.4.7.2, 8.3.4.7.3, 8",,,CFIHOS-70000427,factory acceptance test procedure,No,No,Yes,,,,,,,,,PDF
CFIHOS-68001845,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-52,Certified hydrostatic test data,Test report,Certified Hydrostatic Test Data per the requirements of section 8.3.2 of API Standard 610/S-615. Include machining map showing all areas machined after the hydrotest.,,equipment,technical information deliverables,"8.3.2.10, 8.3.2.11, 8.3.2.12, 8.2.1.1, 8.3.2.1, 8.3.2.13, 8.3.2.14, 8.3.2.15, 8.3.2.16, 8.3.2.2, 8.3.2.3, 8.3.2.4, 8.3.2.5, 8.3.2.6, 8.3.2.7, 8.3.2.8, 8.3.2.9, L.3.6.1",,,CFIHOS-70000245,inspection report,No,Yes,No,,,,,,,,,PDF
CFIHOS-68001846,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-54,Optional test data and reports,Test report,"As per the requirements of L.3.6.1 v) together with sections 7.4.24, 8.3.3.9, 8.3.4, 9.2.7.4 and 9.3.9.2 of API Standard 610/S-615, if and as specified in the procurement data sheet, with the following changes:- add minimum submergence testing (vertically",,equipment,technical information deliverables,"6.1.22, 6.10.2.7, 9.2.7.4, 9.3.9.1, 7.4.23, 7.4.24, 8.2.1.1, 8.3.1.2, 8.3.1.4, 8.3.1.5, 8.3.3.9, 8.3.4.1, 8.3.4.3.2, 8.3.4.3.3, 8.3.4.3.4, 8.3.4.3.5, 8.3.4.3.6, 8.3.4.3.7, 8.3.4.4.1, 8.3.4.4.2, 8.3.4.5, 8.3.4.6, 8.3.4.7, 8.3.4.7.1, 8.3.4.7.2, 8.3.4.7.3, 8",,,CFIHOS-70000245,inspection report,No,Yes,No,,,,,,,,,PDF
CFIHOS-68001847,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-56,Certified dimensional outline drawings,General arrangement diagram,"For proposal: outline dimensioned drawings for each pump skid, driver and auxiliary systems where applicable as per the requirements of section L.2.2.1 a) API Standard 610/S-615 and, if applicable, the standard baseplate number. For offshore applications ",Native format shall also be provided for the “as built” drawing,equipment,technical information deliverables,"6.4.3.10, 7.1.3, 9.3.13.4, 6.1.28, 6.8.2, L.2.2.1, L.3.6.1, L.3.6.2",,,CFIHOS-70000153,general arrangement diagram,Yes,Yes,No,,,,,,,,,PDF
CFIHOS-68001848,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-57,Cross-sectional drawings and bills of materials,Equipment cross section diagram,"For proposal: cross-sectional drawings, including bill of materials, for the proposed pump, driver, auxiliary equipment and systems where applicable. For acceptance: cross-sectional drawings, including bill of materials, to include all furnished pump, dri",,equipment,technical information deliverables,"6.1.11, 6.1.15, 6.1.22, 6.4.3.10, 6.6.3, 6.8.11, 9.3.13.4, 9.2.5.5, 9.3.10.7, 9.3.11.3, 9.3.13.7, 9.3.13.8, 9.3.13.9, 9.3.3.2, 9.3.6.3, Figure 20, L.2.2.1, L.3.4.1, L.3.4.2, L.3.4.3, L.3.4.4, L.3.4.5, L.3.4.6, L.3.6.1",,,CFIHOS-70000116,equipment cross section diagram,Yes,Yes,No,,,,,,,,,PDF
CFIHOS-68001849,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-58,Schematic diagram,Schematic diagram,"For proposal: as per the requirements of L.2.2.1 c) of API Standard 610.For acceptance: as per the requirements of L.3.6.1 e), f) and j) of API Standard 610 with the addition, as applicable, of the following:- parts list; quantities; sizes; materials of c",,equipment,technical information deliverables,"6.4.3.10, 9.3.13.4, 9.3.13.2, 9.3.13.3, L.2.2.1, L.3.6.1",,,CFIHOS-70000328,schematic diagram,Yes,Yes,No,,,,,,,,,PDF
CFIHOS-68001850,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-59,"Pump, driver and mechanical seal data sheets",Manufacturer data sheet,"For proposal: as per the requirements of L.2.3.2 a) of API 610, with the following changes:- applies to driver and mechanical seal data sheets and gearbox (if supplied). Note, for the pump, the fully completed procurement data sheet shall be submitted. Fo",,equipment,technical information deliverables,"6.1.3, 6.1.8, 6.1.9, 6.12.1.1, 6.3.6, 6.6.14.2, 6.8.1, 6.8.13, 7.1.1, 9.2.4.1.1, C.3.3.1, L.3.6.1, L.3.6.2, L2.3.2 paragraph 1 bullet a, Table 18",,,CFIHOS-70000416,manufacturer datasheet,Yes,Yes,No,,,,,,,,,PDF
CFIHOS-68001851,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-60,Recommended spare parts,Spare part list,"For proposal: as per the requirements of L.2.3.2 f) of API Standard 610, with the following changes:- Include recommended 2 years operating spares;- Include recommended capital spares;- Applies to parts for all equipment furnished by vendor. For acceptanc",,equipment,technical information deliverables,"L.3.4.1, L.3.4.2, L.3.4.3, L.3.4.4, L.3.4.5, L.3.4.6, L2.3.2 paragraph 1 bullet f",,,CFIHOS-70000374,spare part list,Yes,No,Yes,,,,,,,,,Native
CFIHOS-68001852,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-61,Utility requirements,Utility consumption report,For proposal: as per the requirements of API Standard 610 L.2.3.2 i). For acceptance: as per the proposal requirements.,Utility requirements information required for plant design,equipment,technical information deliverables,"6.1.3, 7.1.1, L2.3.2 paragraph 1 bullet i",,,CFIHOS-70000259,general report,Yes,No,Yes,,,,,,,,,PDF
CFIHOS-68001853,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-62,Lubrication schedule,Lubrication list,"The lubrication schedule is to indicate the below data for each pump:- Make and grade of the lubricant to be utilized and other equivalent makes; - Physical and chemical characteristics sufficient to define the equivalency with others (viscosity at 50°C, ",Owner/lifecycle information required for maintenance,equipment,technical information deliverables,IOGP S-615:2023,,,CFIHOS-70000444,lubrication list,No,No,Yes,,,,,,,,,PDF
CFIHOS-68001854,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-63,Inspection and test equipment calibration certificates,Calibration certificate,Current calibration certificates for all shop instrumentation to be used during inspection and testing activities.,,equipment,technical information deliverables,8.2.1.1,,,CFIHOS-70000415,calibration certificate,No,No,Yes,,,,,,,,,PDF
CFIHOS-68001855,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-64,Lateral critical speed analysis,Lateral critical speed analysis,As per the requirements of I.1.2 to I.1.5 and I.3 of API Standard 610.,,equipment,technical information deliverables,"9.2.4.1.1, 9.2.4.1.2, Figure I.1, I.1.1, I.1.2, I.1.3, I.1.4, I.1.5, I.2.1, I.3, L.3.6.1, Table 18, Table I.1",,,CFIHOS-70000449,performance report,No,Yes,No,,,,,,,,,PDF
CFIHOS-68001856,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-66,Material safety data sheets,Safety data sheet,"Material safety data sheets are to be in accordance with local standards for the specific paints, preservatives, coatings, lubricants, cooling media and chemicals supplied with, or applied to the supplied machinery or equipment. E.g. OSHA Form 174.",,equipment,technical information deliverables,"8.4.14, 8.4.14.1, 8.4.14.2, 8.4.14.3, 8.4.14.4",,,CFIHOS-70000211,safety datasheet,Yes,No,Yes,,,,,,,,,PDF
CFIHOS-68001857,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-67,Electrical and instrumentation wiring diagrams,Wiring diagram,"The diagrams are to show the connections, terminal/pin/socket and cable detail between different items within the package, including earthing and spare terminals. The diagrams are to also identify all connections to purchaser's power supply and instrument",,equipment,technical information deliverables,"L.3.6.1, L.3.6.2",,,CFIHOS-70000268,wiring diagram,No,Yes,No,,,,,,,,,PDF
CFIHOS-68001858,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-68,Motor performance data,Motor performance and electrical data and curves,As per the requirements of L.3.6.2 e) of API Standard 610.,,equipment,technical information deliverables,L.3.6.2,,,CFIHOS-70000449,performance report,No,Yes,No,,,,,,,,,PDF
CFIHOS-68001859,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-69,Shaft coupling assembly drawing and bill of materials,Assembly diagram,Shaft coupling assembly drawing to include as applicable: coupling specification; fit; full dimensions; allowable misalignment tolerances; balance grade; service factor; weights; machining/mounting details; keys detail; maintenance details; coupling therm,Owner/lifecycle information required for maintenance,equipment,technical information deliverables,"7.2.10, 7.2.2, 7.2.3, 7.2.6, 7.2.7, 7.2.8, 7.2.9, L.2.2.1, L.3.4.1, L.3.4.2, L.3.4.3, L.3.4.4, L.3.4.5, L.3.4.6, L.3.6.1",,,CFIHOS-70000017,assembly diagram,No,Yes,No,,,,,,,,,PDF
CFIHOS-68001860,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-70,Shaft seal drawing and bills of materials,Assembly diagram,"For proposal: shaft seal preliminary drawing and materials of construction. For acceptance: shaft seal drawing showing details of equipment including direction of rotation, seal harness connection details, seal harness pressures and flowrates, maximum and",Owner/lifecycle information required for maintenance,equipment,technical information deliverables,"6.8.1, 6.8.10, 6.8.12, 6.8.13, 6.8.2, 6.8.3, 6.8.6, 6.8.7, 6.8.8, 6.8.9, Figure 26, L.2.2.1, L.3.4.1, L.3.4.2, L.3.4.3, L.3.4.4, L.3.4.5, L.3.4.6, L.3.6.1, Table 7",,,CFIHOS-70000017,assembly diagram,Yes,Yes,No,,,,,,,,,PDF
CFIHOS-68001861,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-72,Pump speed-torque curve superimposed on motor driver speed-torque curves,Curves and tables calculations,Pump speed-torque curve superimposed on the motor driver speed-torque curves.,,equipment,technical information deliverables,"7.1.7, L.3.6.2",,,CFIHOS-70000449,performance report,No,Yes,No,,,,,,,,,PDF
CFIHOS-68001862,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-73,Warm-up (or Cool-down) procedure,Mechanical test procedure,Detailed procedure to be followed to achieve instantaneous start-up of the pump with the pumping temperatures indicated on the data sheet.,,equipment,technical information deliverables,IOGP S-615:2023,,,CFIHOS-70000332,test procedure,No,No,Yes,,,,,,,,,PDF
CFIHOS-68001863,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-74,Instrument data sheets,Manufacturer data sheet,Fully completed purchaser's format instrument data sheet for each instrument supplied within the equipment scope.,,equipment,technical information deliverables,IOGP S-615:2023,,,CFIHOS-70000416,manufacturer datasheet,No,Yes,No,,,,,,,,,PDF
CFIHOS-68001864,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-75,Instrument list,Instrument list,"List of all instrument supplied within the equipment scope to include as a minimum: instrument tag number, service description, instrument type, manufacturer, model, materials, connections, signal type, range, alarm and trip set points, hazardous area cla",,equipment,technical information deliverables,IOGP S-615:2023,,,CFIHOS-70000418,instrument list,No,No,Yes,,,,,,,,,PDF
CFIHOS-68001865,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-76,Non-destructive examination procedures,Non destructive test procedure,"Written description of all essential parameters and precautions to be applied when non-destructively testing products in accordance with standard(s), code(s) or specification(s).",,equipment,technical information deliverables,"6.12.3.3, 6.12.3.4, 6.12.3.4.1, 6.4.3.10, 8.2.2.1, 8.2.2.2, 8.2.2.3.1, 8.2.2.3.2, 8.2.2.3.3, 8.2.2.4, 8.2.2.5, 9.3.2.5, 9.3.2.6, Table 11, Table 15",,,CFIHOS-70000227,non destructive test procedure,No,No,No,,,,,,,,,PDF
CFIHOS-68001866,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-77,Non-destructive examination operators qualifications,Non destructive examination (NDE) personnel qualification,"Qualification certificate for NDE personnel. NDE personnel shall be certified according to ISO 9712, ASNT central certification program or other standard accepted by purchaser. An index is required for all NDE operators providing name, identification, qua",,equipment,technical information deliverables,IOGP S-615:2023,,,CFIHOS-70000437,personnel qualification certificate,No,No,No,,,,,,,,,PDF
CFIHOS-68001867,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-78,Certified hydrostatic test procedure,Pressure test procedure,Procedure to determine that equipment pressure envelope strength and integrity complies fully with the Pprchaser requirements.,,equipment,technical information deliverables,"8.3.2.10, 8.3.2.11, 8.3.2.12, 8.3.2.1, 8.3.2.13, 8.3.2.14, 8.3.2.15, 8.3.2.16, 8.3.2.2, 8.3.2.3, 8.3.2.4, 8.3.2.5, 8.3.2.6, 8.3.2.7, 8.3.2.8, 8.3.2.9",,,CFIHOS-70000286,pressure test procedure,No,No,Yes,,,,,,,,,PDF
CFIHOS-68001868,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-79,Impeller detailed drawing,Detailed drawing,"Impeller as-built drawing. Drawing showing the details of any modifications (under filling, over filling, v-cutting or similar technique) made to the impeller after the performance test to correct hydraulic performance.",,equipment,technical information deliverables,8.3.3.8.1,,,CFIHOS-70000438,detail diagram,No,No,Yes,,,,,,,,,PDF
CFIHOS-68001869,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-80,Painting procedure,Painting and coating procedure,"Detailed procedure for surface preparation and painting covering all items in vendor's scope of supply. To include systems for the materials of construction, the operating temperatures, the site environment, and any items under insulation.",Required to ensure painting and coating comply with project requirements,equipment,technical information deliverables,"9.3.8.3.2, 6.12.2.1, 7.4.16, 8.4.3.4",,,CFIHOS-70000384,surface protection procedure,Yes,No,Yes,,,,,,,,,PDF
CFIHOS-68001870,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-82,Manufacturing record book,Manufacturer record book (MRB),Manufacturing record book is to contain all required quality related documents associated with the complete package. The vendor's proposed index is to be agreed prior to submission of the manual and the MRB shall be compiled in strict accordance with the ,"Manufacturer Record Book index, if required, shall be provided in first revision of the document. When index agreed, Manufacturer Record Book content shall be provided in subsequent revision of the document",equipment,technical information deliverables,"6.1.11, 8.2.1.1, L.1.2, L.3.5.1, L.3.5.1.1, L.3.5.4",,,CFIHOS-70000178,index of documents,No,Yes,No,,,,,,,,,PDF
