CFIHOS unique code,CFIHOS name,CFIHOS description,CFIHOS definition file
CFIHOS-68000798,CFIHOS-30000026-IR-CFIHOS-70000374,degasser - spare part list,source standard document and data requirement
CFIHOS-68000799,CFIHOS-30000029-IR-CFIHOS-70000374,dew point transmitter - spare part list,source standard document and data requirement
CFIHOS-68000800,CFIHOS-30000030-IR-CFIHOS-70000374,diaphragm seal - spare part list,source standard document and data requirement
CFIHOS-68000801,CFIHOS-30000415-IR-CFIHOS-70000374,differential pressure gauge - spare part list,source standard document and data requirement
CFIHOS-68000802,CFIHOS-30000417-IR-CFIHOS-70000374,differential pressure switch - spare part list,source standard document and data requirement
CFIHOS-68000803,CFIHOS-30000330-IR-CFIHOS-70000374,distribution board - spare part list,source standard document and data requirement
CFIHOS-68000804,CFIHOS-30000036-IR-CFIHOS-70000374,document scanner - spare part list,source standard document and data requirement
CFIHOS-68000805,CFIHOS-30000037-IR-CFIHOS-70000374,drilling machine - spare part list,source standard document and data requirement
CFIHOS-68000806,CFIHOS-30000332-IR-CFIHOS-70000374,earth electrode - spare part list,source standard document and data requirement
CFIHOS-68000807,CFIHOS-30000508-IR-CFIHOS-70000374,earthing resistor - spare part list,source standard document and data requirement
CFIHOS-68000808,CFIHOS-30000338-IR-CFIHOS-70000374,electric generator - spare part list,source standard document and data requirement
CFIHOS-68000809,CFIHOS-30000340-IR-CFIHOS-70000374,electric motor - spare part list,source standard document and data requirement
CFIHOS-68000810,CFIHOS-30000344-IR-CFIHOS-70000374,electrical socket - spare part list,source standard document and data requirement
CFIHOS-68000811,CFIHOS-30000345-IR-CFIHOS-70000374,electronic frequency converter - spare part list,source standard document and data requirement
CFIHOS-68000812,CFIHOS-30000346-IR-CFIHOS-70000374,electronic power inverter - spare part list,source standard document and data requirement
CFIHOS-68000813,CFIHOS-30000598-IR-CFIHOS-70000374,elevator - spare part list,source standard document and data requirement
CFIHOS-68000814,CFIHOS-30000531-IR-CFIHOS-70000374,extruder - spare part list,source standard document and data requirement
CFIHOS-68000815,CFIHOS-30000045-IR-CFIHOS-70000374,fall arrestor block - spare part list,source standard document and data requirement
CFIHOS-68000816,CFIHOS-30000046-IR-CFIHOS-70000374,fax machine - spare part list,source standard document and data requirement
CFIHOS-68000817,CFIHOS-30000566-IR-CFIHOS-70000374,feeder - spare part list,source standard document and data requirement
CFIHOS-68000818,CFIHOS-30000576-IR-CFIHOS-70000374,filter cartridge - spare part list,source standard document and data requirement
CFIHOS-68000819,CFIHOS-30000048-IR-CFIHOS-70000374,fire blanket - spare part list,source standard document and data requirement
CFIHOS-68000820,CFIHOS-30000050-IR-CFIHOS-70000374,fire door - spare part list,source standard document and data requirement
CFIHOS-68000821,CFIHOS-30000512-IR-CFIHOS-70000374,fire extinguisher - spare part list,source standard document and data requirement
CFIHOS-68000822,CFIHOS-30000051-IR-CFIHOS-70000374,fire fighting vehicle - spare part list,source standard document and data requirement
CFIHOS-68000823,CFIHOS-30000052-IR-CFIHOS-70000374,fire hydrant - spare part list,source standard document and data requirement
CFIHOS-68000824,CFIHOS-30000054-IR-CFIHOS-70000374,firewater monitor - spare part list,source standard document and data requirement
CFIHOS-68000825,CFIHOS-30000055-IR-CFIHOS-70000374,first aid kit - spare part list,source standard document and data requirement
CFIHOS-68000826,CFIHOS-30000056-IR-CFIHOS-70000374,flame arrestor - spare part list,source standard document and data requirement
CFIHOS-68000827,CFIHOS-30000425-IR-CFIHOS-70000374,flame detector - spare part list,source standard document and data requirement
CFIHOS-68000828,CFIHOS-30000057-IR-CFIHOS-70000374,flame switch - spare part list,source standard document and data requirement
CFIHOS-68000829,CFIHOS-30000304-IR-CFIHOS-70000374,flange - spare part list,source standard document and data requirement
CFIHOS-68000830,CFIHOS-30000058-IR-CFIHOS-70000374,flare - spare part list,source standard document and data requirement
CFIHOS-68000831,CFIHOS-30000389-IR-CFIHOS-70000374,flare tip - spare part list,source standard document and data requirement
CFIHOS-68000832,CFIHOS-30000059-IR-CFIHOS-70000374,flash drum - spare part list,source standard document and data requirement
CFIHOS-68000833,CFIHOS-30000347-IR-CFIHOS-70000374,floodlight - spare part list,source standard document and data requirement
CFIHOS-68000834,CFIHOS-30000063-IR-CFIHOS-70000374,flow orifice plate - spare part list,source standard document and data requirement
CFIHOS-68000835,CFIHOS-30000065-IR-CFIHOS-70000374,fog detector - spare part list,source standard document and data requirement
CFIHOS-68000836,CFIHOS-30000305-IR-CFIHOS-70000374,frame - spare part list,source standard document and data requirement
CFIHOS-68000837,CFIHOS-30000348-IR-CFIHOS-70000374,fuse - spare part list,source standard document and data requirement
CFIHOS-68000838,CFIHOS-30000072-IR-CFIHOS-70000374,fusible plug - spare part list,source standard document and data requirement
CFIHOS-68000839,CFIHOS-30000306-IR-CFIHOS-70000374,gasket - spare part list,source standard document and data requirement
CFIHOS-68000840,CFIHOS-30000535-IR-CFIHOS-70000374,gear box - spare part list,source standard document and data requirement
CFIHOS-68000841,CFIHOS-30000077-IR-CFIHOS-70000374,grease injection unit - spare part list,source standard document and data requirement
CFIHOS-68000842,CFIHOS-30000078-IR-CFIHOS-70000374,grille - spare part list,source standard document and data requirement
CFIHOS-68000843,CFIHOS-30000079-IR-CFIHOS-70000374,grinding machine - spare part list,source standard document and data requirement
CFIHOS-68000844,CFIHOS-30000080-IR-CFIHOS-70000374,guide post - spare part list,source standard document and data requirement
CFIHOS-68000845,CFIHOS-30000081-IR-CFIHOS-70000374,hard disk - spare part list,source standard document and data requirement
CFIHOS-68000846,CFIHOS-30000082-IR-CFIHOS-70000374,heat and smoke detector - spare part list,source standard document and data requirement
CFIHOS-68000847,CFIHOS-30000350-IR-CFIHOS-70000374,high-pass filter - spare part list,source standard document and data requirement
CFIHOS-68000848,CFIHOS-30000537-IR-CFIHOS-70000374,hood - spare part list,source standard document and data requirement
CFIHOS-68000849,CFIHOS-30000084-IR-CFIHOS-70000374,horn - spare part list,source standard document and data requirement
CFIHOS-68000850,CFIHOS-30000085-IR-CFIHOS-70000374,hose - spare part list,source standard document and data requirement
CFIHOS-68000851,CFIHOS-30000089-IR-CFIHOS-70000374,hydraulic connector - spare part list,source standard document and data requirement
CFIHOS-68000852,CFIHOS-30000538-IR-CFIHOS-70000374,hydraulic cylinder - spare part list,source standard document and data requirement
CFIHOS-68000853,CFIHOS-30000539-IR-CFIHOS-70000374,hydraulic motor - spare part list,source standard document and data requirement
CFIHOS-68000854,CFIHOS-30000090-IR-CFIHOS-70000374,hydraulic power supply - spare part list,source standard document and data requirement
CFIHOS-68000855,CFIHOS-30000568-IR-CFIHOS-70000374,hydraulic press - spare part list,source standard document and data requirement
CFIHOS-68000856,CFIHOS-30000094-IR-CFIHOS-70000374,ignitor - spare part list,source standard document and data requirement
CFIHOS-68000857,CFIHOS-30000391-IR-CFIHOS-70000374,incinerator - spare part list,source standard document and data requirement
CFIHOS-68000858,CFIHOS-30000292-IR-CFIHOS-70000374,indicating instrument - spare part list,source standard document and data requirement
CFIHOS-68000859,CFIHOS-30000100-IR-CFIHOS-70000374,intercom - spare part list,source standard document and data requirement
CFIHOS-68000860,CFIHOS-30000351-IR-CFIHOS-70000374,interlocking device - spare part list,source standard document and data requirement
CFIHOS-68000861,CFIHOS-30000352-IR-CFIHOS-70000374,isolator - spare part list,source standard document and data requirement
CFIHOS-68000862,CFIHOS-30000353-IR-CFIHOS-70000374,junction box - spare part list,source standard document and data requirement
CFIHOS-68000863,CFIHOS-30000435-IR-CFIHOS-70000374,keyboard - spare part list,source standard document and data requirement
CFIHOS-68000864,CFIHOS-30000354-IR-CFIHOS-70000374,lamp - spare part list,source standard document and data requirement
CFIHOS-68000865,CFIHOS-30000112-IR-CFIHOS-70000374,lathe - spare part list,source standard document and data requirement
CFIHOS-68000866,CFIHOS-30000601-IR-CFIHOS-70000374,life boat - spare part list,source standard document and data requirement
CFIHOS-68000867,CFIHOS-30000114-IR-CFIHOS-70000374,life buoy - spare part list,source standard document and data requirement
CFIHOS-68000868,CFIHOS-30000115-IR-CFIHOS-70000374,life buoy light - spare part list,source standard document and data requirement
CFIHOS-68000869,CFIHOS-30000116-IR-CFIHOS-70000374,life raft - spare part list,source standard document and data requirement
CFIHOS-68000870,CFIHOS-30000121-IR-CFIHOS-70000374,liquid detector - spare part list,source standard document and data requirement
CFIHOS-68000871,CFIHOS-30000602-IR-CFIHOS-70000374,loading arm - spare part list,source standard document and data requirement
CFIHOS-68000872,CFIHOS-30000124-IR-CFIHOS-70000374,logic cap - spare part list,source standard document and data requirement
CFIHOS-68000873,CFIHOS-30000436-IR-CFIHOS-70000374,loudspeaker - spare part list,source standard document and data requirement
CFIHOS-68000874,CFIHOS-30000125-IR-CFIHOS-70000374,louvre - spare part list,source standard document and data requirement
CFIHOS-68000875,CFIHOS-30000356-IR-CFIHOS-70000374,low-pass filter - spare part list,source standard document and data requirement
CFIHOS-68000876,CFIHOS-30000357-IR-CFIHOS-70000374,luminaire - spare part list,source standard document and data requirement
CFIHOS-68000877,CFIHOS-30000308-IR-CFIHOS-70000374,manifold - spare part list,source standard document and data requirement
CFIHOS-68000878,CFIHOS-30000130-IR-CFIHOS-70000374,mast - spare part list,source standard document and data requirement
CFIHOS-68000879,CFIHOS-30000131-IR-CFIHOS-70000374,mechanical connector - spare part list,source standard document and data requirement
CFIHOS-68000880,CFIHOS-30000542-IR-CFIHOS-70000374,mechanical seal - spare part list,source standard document and data requirement
CFIHOS-68000881,CFIHOS-30000132-IR-CFIHOS-70000374,meter prover - spare part list,source standard document and data requirement
CFIHOS-68000882,CFIHOS-30000133-IR-CFIHOS-70000374,microphone - spare part list,source standard document and data requirement
CFIHOS-68000883,CFIHOS-30000135-IR-CFIHOS-70000374,modem - spare part list,source standard document and data requirement
CFIHOS-68000884,CFIHOS-30000136-IR-CFIHOS-70000374,mounting bracket - spare part list,source standard document and data requirement
CFIHOS-68000885,CFIHOS-30000138-IR-CFIHOS-70000374,multiplexer - spare part list,source standard document and data requirement
CFIHOS-68000886,CFIHOS-30000139-IR-CFIHOS-70000374,net oil computer - spare part list,source standard document and data requirement
CFIHOS-68000887,CFIHOS-30000495-IR-CFIHOS-70000374,nozzle - spare part list,source standard document and data requirement
CFIHOS-68000888,CFIHOS-30000164-IR-CFIHOS-70000374,optical beacon - spare part list,source standard document and data requirement
CFIHOS-68000889,CFIHOS-30000165-IR-CFIHOS-70000374,overhead projector - spare part list,source standard document and data requirement
CFIHOS-68000890,CFIHOS-30000168-IR-CFIHOS-70000374,package - spare part list,source standard document and data requirement
CFIHOS-68000891,CFIHOS-30000170-IR-CFIHOS-70000374,pager - spare part list,source standard document and data requirement
CFIHOS-68000892,CFIHOS-30000171-IR-CFIHOS-70000374,paging system - spare part list,source standard document and data requirement
CFIHOS-68000893,CFIHOS-30000172-IR-CFIHOS-70000374,personnel basket - spare part list,source standard document and data requirement
CFIHOS-68000894,CFIHOS-30000441-IR-CFIHOS-70000374,pig detector - spare part list,source standard document and data requirement
CFIHOS-68000895,CFIHOS-30000175-IR-CFIHOS-70000374,pig launcher - spare part list,source standard document and data requirement
CFIHOS-68000896,CFIHOS-30000177-IR-CFIHOS-70000374,pig receiver - spare part list,source standard document and data requirement
CFIHOS-68000897,CFIHOS-30000178-IR-CFIHOS-70000374,pig transmitter - spare part list,source standard document and data requirement
CFIHOS-68000898,CFIHOS-30000179-IR-CFIHOS-70000374,pig trap - spare part list,source standard document and data requirement
CFIHOS-68000899,CFIHOS-30000180-IR-CFIHOS-70000374,pipe bending machine - spare part list,source standard document and data requirement
CFIHOS-68000900,CFIHOS-30000442-IR-CFIHOS-70000374,pitot tube - spare part list,source standard document and data requirement
CFIHOS-68000901,CFIHOS-30000548-IR-CFIHOS-70000374,pneumatic motor - spare part list,source standard document and data requirement
CFIHOS-68000902,CFIHOS-30000449-IR-CFIHOS-70000374,position transmitter - spare part list,source standard document and data requirement
CFIHOS-68000903,CFIHOS-30000184-IR-CFIHOS-70000374,positioning system - spare part list,source standard document and data requirement
CFIHOS-68000904,CFIHOS-30000186-IR-CFIHOS-70000374,power stabiliser - spare part list,source standard document and data requirement
CFIHOS-68000905,CFIHOS-30000361-IR-CFIHOS-70000374,power supply unit - spare part list,source standard document and data requirement
CFIHOS-68000906,CFIHOS-30000452-IR-CFIHOS-70000374,pressure gauge - spare part list,source standard document and data requirement
CFIHOS-68000907,CFIHOS-30000754-IR-CFIHOS-70000374,printed circuit heat exchanger - spare part list,source standard document and data requirement
CFIHOS-68000908,CFIHOS-30000189-IR-CFIHOS-70000374,process data acquisition and control - spare part list,source standard document and data requirement
CFIHOS-68000909,CFIHOS-30000457-IR-CFIHOS-70000374,proximity element - spare part list,source standard document and data requirement
CFIHOS-68000910,CFIHOS-30000549-IR-CFIHOS-70000374,pulsation damper - spare part list,source standard document and data requirement
CFIHOS-68000911,CFIHOS-30000199-IR-CFIHOS-70000374,rack - spare part list,source standard document and data requirement
CFIHOS-68000912,CFIHOS-30000202-IR-CFIHOS-70000374,radio caravan - spare part list,source standard document and data requirement
CFIHOS-68000913,CFIHOS-30000203-IR-CFIHOS-70000374,radio transceiver - spare part list,source standard document and data requirement
CFIHOS-68000914,CFIHOS-30000205-IR-CFIHOS-70000374,reader - spare part list,source standard document and data requirement
CFIHOS-68000915,CFIHOS-30000363-IR-CFIHOS-70000374,rectifier - spare part list,source standard document and data requirement
CFIHOS-68000916,CFIHOS-30000295-IR-CFIHOS-70000374,relief valve - spare part list,source standard document and data requirement
CFIHOS-68000917,CFIHOS-30000209-IR-CFIHOS-70000374,remote terminal unit - spare part list,source standard document and data requirement
CFIHOS-68000918,CFIHOS-30000464-IR-CFIHOS-70000374,restriction orifice plate - spare part list,source standard document and data requirement
CFIHOS-68000919,CFIHOS-30000221-IR-CFIHOS-70000374,router - spare part list,source standard document and data requirement
CFIHOS-68000920,CFIHOS-30000467-IR-CFIHOS-70000374,sampler - spare part list,source standard document and data requirement
CFIHOS-68000921,CFIHOS-30000243-IR-CFIHOS-70000374,sand detector - spare part list,source standard document and data requirement
CFIHOS-68000922,CFIHOS-30000225-IR-CFIHOS-70000374,satellite communications terminal - spare part list,source standard document and data requirement
CFIHOS-68000923,CFIHOS-30000587-IR-CFIHOS-70000374,scraper - spare part list,source standard document and data requirement
CFIHOS-68000924,CFIHOS-30000309-IR-CFIHOS-70000374,seal - spare part list,source standard document and data requirement
CFIHOS-68000925,CFIHOS-30000228-IR-CFIHOS-70000374,shale shaker - spare part list,source standard document and data requirement
CFIHOS-68000926,CFIHOS-30000231-IR-CFIHOS-70000374,sheave - spare part list,source standard document and data requirement
CFIHOS-68000927,CFIHOS-30000590-IR-CFIHOS-70000374,shell - spare part list,source standard document and data requirement
CFIHOS-68000928,CFIHOS-30000232-IR-CFIHOS-70000374,shut off damper - spare part list,source standard document and data requirement
CFIHOS-68000929,CFIHOS-30000233-IR-CFIHOS-70000374,side pocket mandrel - spare part list,source standard document and data requirement
CFIHOS-68000930,CFIHOS-30000235-IR-CFIHOS-70000374,signal splitter - spare part list,source standard document and data requirement
CFIHOS-68000931,CFIHOS-30000236-IR-CFIHOS-70000374,single buoy mooring - spare part list,source standard document and data requirement
CFIHOS-68000932,CFIHOS-30000237-IR-CFIHOS-70000374,sink - spare part list,source standard document and data requirement
CFIHOS-68000933,CFIHOS-30000239-IR-CFIHOS-70000374,skimmer - spare part list,source standard document and data requirement
CFIHOS-68000934,CFIHOS-30000570-IR-CFIHOS-70000374,slat conveyor - spare part list,source standard document and data requirement
CFIHOS-68000935,CFIHOS-30000591-IR-CFIHOS-70000374,slug catcher - spare part list,source standard document and data requirement
CFIHOS-68000936,CFIHOS-30000240-IR-CFIHOS-70000374,snatch block - spare part list,source standard document and data requirement
CFIHOS-68000937,CFIHOS-30000368-IR-CFIHOS-70000374,solenoid - spare part list,source standard document and data requirement
CFIHOS-68000938,CFIHOS-30000246-IR-CFIHOS-70000374,spark arrestor - spare part list,source standard document and data requirement
CFIHOS-68000939,CFIHOS-30000247-IR-CFIHOS-70000374,special tool - spare part list,source standard document and data requirement
CFIHOS-68000940,CFIHOS-30000503-IR-CFIHOS-70000374,spectacle blind - spare part list,source standard document and data requirement
CFIHOS-68000941,CFIHOS-30000472-IR-CFIHOS-70000374,speed transmitter - spare part list,source standard document and data requirement
CFIHOS-68000942,CFIHOS-30000249-IR-CFIHOS-70000374,spreader bar - spare part list,source standard document and data requirement
CFIHOS-68000943,CFIHOS-30000251-IR-CFIHOS-70000374,stack - spare part list,source standard document and data requirement
CFIHOS-68000944,CFIHOS-30000592-IR-CFIHOS-70000374,stripper - spare part list,source standard document and data requirement
CFIHOS-68000945,CFIHOS-30000253-IR-CFIHOS-70000374,stroke length adjuster - spare part list,source standard document and data requirement
CFIHOS-68000946,CFIHOS-30000254-IR-CFIHOS-70000374,sump - spare part list,source standard document and data requirement
CFIHOS-68000947,CFIHOS-30000369-IR-CFIHOS-70000374,switchboard - spare part list,source standard document and data requirement
CFIHOS-68000948,CFIHOS-30000255-IR-CFIHOS-70000374,swivel joint - spare part list,source standard document and data requirement
CFIHOS-68000949,CFIHOS-30000257-IR-CFIHOS-70000374,tape drive - spare part list,source standard document and data requirement
CFIHOS-68000950,CFIHOS-30000371-IR-CFIHOS-70000374,telephone - spare part list,source standard document and data requirement
CFIHOS-68000951,CFIHOS-30000374-IR-CFIHOS-70000374,thyristor - spare part list,source standard document and data requirement
CFIHOS-68000952,CFIHOS-30000480-IR-CFIHOS-70000374,timer - spare part list,source standard document and data requirement
CFIHOS-68000953,CFIHOS-30000557-IR-CFIHOS-70000374,torque converter - spare part list,source standard document and data requirement
CFIHOS-68000954,CFIHOS-30000263-IR-CFIHOS-70000374,trailer - spare part list,source standard document and data requirement
CFIHOS-68000955,CFIHOS-30000481-IR-CFIHOS-70000374,transponder - spare part list,source standard document and data requirement
CFIHOS-68000956,CFIHOS-30000375-IR-CFIHOS-70000374,trip amplifier - spare part list,source standard document and data requirement
CFIHOS-68000957,CFIHOS-30000604-IR-CFIHOS-70000374,trolley - spare part list,source standard document and data requirement
CFIHOS-68000958,CFIHOS-30000605-IR-CFIHOS-70000374,truck - spare part list,source standard document and data requirement
CFIHOS-68000959,CFIHOS-30000507-IR-CFIHOS-70000374,tubing hanger - spare part list,source standard document and data requirement
CFIHOS-68000960,CFIHOS-30000558-IR-CFIHOS-70000374,turbo expander - spare part list,source standard document and data requirement
CFIHOS-68000961,CFIHOS-30000267-IR-CFIHOS-70000374,umbilical - spare part list,source standard document and data requirement
CFIHOS-68000962,CFIHOS-30000268-IR-CFIHOS-70000374,UV sterilizer - spare part list,source standard document and data requirement
CFIHOS-68000963,CFIHOS-30000594-IR-CFIHOS-70000374,vessel - spare part list,source standard document and data requirement
CFIHOS-68000964,CFIHOS-30000487-IR-CFIHOS-70000374,vibration element - spare part list,source standard document and data requirement
CFIHOS-68000965,CFIHOS-30000273-IR-CFIHOS-70000374,vibration switch - spare part list,source standard document and data requirement
CFIHOS-68000966,CFIHOS-30000274-IR-CFIHOS-70000374,video converter - spare part list,source standard document and data requirement
CFIHOS-68000967,CFIHOS-30000275-IR-CFIHOS-70000374,video monitor - spare part list,source standard document and data requirement
CFIHOS-68000968,CFIHOS-30000488-IR-CFIHOS-70000374,video recorder - spare part list,source standard document and data requirement
CFIHOS-68000969,CFIHOS-30000276-IR-CFIHOS-70000374,voltage transmitter - spare part list,source standard document and data requirement
CFIHOS-68000970,CFIHOS-30000279-IR-CFIHOS-70000374,water cooler - spare part list,source standard document and data requirement
CFIHOS-68000971,CFIHOS-30000281-IR-CFIHOS-70000374,water maker - spare part list,source standard document and data requirement
CFIHOS-68000972,CFIHOS-30000381-IR-CFIHOS-70000374,welding set - spare part list,source standard document and data requirement
CFIHOS-68000973,CFIHOS-30000283-IR-CFIHOS-70000374,well - spare part list,source standard document and data requirement
CFIHOS-68000974,CFIHOS-30000284-IR-CFIHOS-70000374,wellhead - spare part list,source standard document and data requirement
CFIHOS-68000975,CFIHOS-30000285-IR-CFIHOS-70000374,winch - spare part list,source standard document and data requirement
CFIHOS-68000976,CFIHOS-30000492-IR-CFIHOS-70000374,wind sensor - spare part list,source standard document and data requirement
CFIHOS-68000977,CFIHOS-30000287-IR-CFIHOS-70000374,wire hoist - spare part list,source standard document and data requirement
CFIHOS-68000978,CFIHOS-30000288-IR-CFIHOS-70000374,wire line unit - spare part list,source standard document and data requirement
CFIHOS-68000979,CFIHOS-30000289-IR-CFIHOS-70000374,wire sling - spare part list,source standard document and data requirement
CFIHOS-68000980,CFIHOS-30000290-IR-CFIHOS-70000374,wireless access point - spare part list,source standard document and data requirement
CFIHOS-68000981,CFIHOS-30000561-IR-CFIHOS-70000374,yoke - spare part list,source standard document and data requirement
CFIHOS-68001086,data for protection setting/power modelling for single-speed motors,Data for protection setting/power modelling for single-speed motors.,application condition
CFIHOS-68001087,motor rated for use in a potentially explosive atmosphere,Motor rated for use in a potentially explosive atmosphere.,application condition
CFIHOS-68001088,needed if impeller was modified after test (with Purchaser's approval),"Needed if impeller was modified after test (with Purchaser's approval) by underfiling, overfilling, V-cutting or any other such technique to correct hydraulic performance.",application condition
CFIHOS-68001089,where applicable,Where applicable.,application condition
CFIHOS-68001090,API 610 #01,Pump performance curves,source standard document and data requirement
CFIHOS-68001091,API 610 #02,Noise data sheets,source standard document and data requirement
CFIHOS-68001092,API 610 #03,"Installation, operation and maintenance instructions index",source standard document and data requirement
CFIHOS-68001093,API 610 #04,"Installation, operation and maintenance instructions",source standard document and data requirement
CFIHOS-68001094,API 610 #05,Shaft and rotor total indicator (TIR) reading certificates,source standard document and data requirement
CFIHOS-68001095,API 610 #06,Wear part running clearance certificates,source standard document and data requirement
CFIHOS-68001096,API 610 #07,Torsional critical speed analysis,source standard document and data requirement
CFIHOS-68001097,API 610 #08,Performance test data,source standard document and data requirement
CFIHOS-68001098,API 610 #09,Rotating component balancing certificates,source standard document and data requirement
CFIHOS-68001099,API 610 #10,Non-destructive examination records,source standard document and data requirement
CFIHOS-68001100,API 610 #11,Material certificates,source standard document and data requirement
CFIHOS-68001101,API 610 #12,"Weld procedures, procedure qualification records and weld maps",source standard document and data requirement
CFIHOS-68001102,API 610 #13,Surface preparation and painting inspection certificates,source standard document and data requirement
CFIHOS-68001103,API 610 #14,Major weld repair certificates,source standard document and data requirement
CFIHOS-68001104,API 610 #15,Welders qualifications,source standard document and data requirement
CFIHOS-68001105,API 610 #16,Heat treatment certificates,source standard document and data requirement
CFIHOS-68001106,API 610 #17,Nameplate Drawing,source standard document and data requirement
CFIHOS-68001107,API 610 #18,Baseplate flatness and coplanarity certificates,source standard document and data requirement
CFIHOS-68001108,API 610 #19,Nozzle forces and moments testing certificates,source standard document and data requirement
CFIHOS-68001109,API 610 #20,Special tools list,source standard document and data requirement
CFIHOS-68001110,API 610 #21,Positive material identification certificates,source standard document and data requirement
CFIHOS-68001111,API 610 #22,Performance and mechanical run test procedures,source standard document and data requirement
CFIHOS-68001112,API 610 #23,Optional test procedures,source standard document and data requirement
CFIHOS-68001113,API 610 #24,Certified hydrostatic test data,source standard document and data requirement
CFIHOS-68001114,API 610 #25,Disassembly after testing certificates,source standard document and data requirement
CFIHOS-68001115,API 610 #26,Optional test data and reports,source standard document and data requirement
CFIHOS-68001116,API 610 #27,Structural resonance test certificates,source standard document and data requirement
CFIHOS-68001117,API 610 #28,Certified dimensional outline drawings,source standard document and data requirement
CFIHOS-68001118,API 610 #29,Cross-sectional drawings and bills of materials,source standard document and data requirement
CFIHOS-68001119,API 610 #30,Overall package piping and instrument diagram,source standard document and data requirement
CFIHOS-68001120,API 610 #31,Data sheets,source standard document and data requirement
CFIHOS-68001121,API 610 #32,Recommended spare parts,source standard document and data requirement
CFIHOS-68001122,API 610 #33,Utility requirements,source standard document and data requirement
CFIHOS-68001123,API 610 #34,Lubrication schedule,source standard document and data requirement
CFIHOS-68001124,API 610 #35,Inspection and test equipment calibration certificates,source standard document and data requirement
CFIHOS-68001125,API 610 #36,Lateral critical speed analysis,source standard document and data requirement
CFIHOS-68001126,API 610 #37,Damped unbalanced response analysis,source standard document and data requirement
CFIHOS-68001127,API 610 #38,Material safety data sheets,source standard document and data requirement
CFIHOS-68001128,API 610 #39,Electrical and instrumentation wiring diagrams,source standard document and data requirement
CFIHOS-68001129,API 610 #40,Motor performance data,source standard document and data requirement
CFIHOS-68001130,API 610 #41,Shaft coupling assembly drawing and bill of materials,source standard document and data requirement
CFIHOS-68001131,API 610 #42,Shaft seal drawing and bills of materials,source standard document and data requirement
CFIHOS-68001132,API 610 #43,Overall package piping systems schematics and bills of materials,source standard document and data requirement
CFIHOS-68001133,API 610 #44,Pump speed-torque curve superimposed on motor driver speed-torque curves,source standard document and data requirement
CFIHOS-68001134,MD#01,Supplier master information schedule,source standard document and data requirement
CFIHOS-68001135,MD#02,Delivery schedule,source standard document and data requirement
CFIHOS-68001136,MD#03,Progress report,source standard document and data requirement
CFIHOS-68001137,MD#04,Quality plan,source standard document and data requirement
CFIHOS-68001138,MD#06,Sub-vendor delivery schedule,source standard document and data requirement
CFIHOS-68001139,MD#07,Inspection and test plan for complete package,source standard document and data requirement
CFIHOS-68001140,MD#08,"Handling, shipping, storage and preservation procedure",source standard document and data requirement
CFIHOS-68001141,MD#09,Non-conformance records,source standard document and data requirement
CFIHOS-68001142,MD#10,Concession requests,source standard document and data requirement
CFIHOS-68001143,S-615#01,Warm-up (or Cool-down) procedure,source standard document and data requirement
CFIHOS-68001144,S-615#02,Instrument data Ssheets,source standard document and data requirement
CFIHOS-68001145,S-615#03,Instrument list,source standard document and data requirement
CFIHOS-68001146,S-615#04,Non-destructive examination procedures,source standard document and data requirement
CFIHOS-68001147,S-615#05,Non-destructive examination operators qualifications,source standard document and data requirement
CFIHOS-68001148,S-615#06,Certified hydrostatic test procedure,source standard document and data requirement
CFIHOS-68001149,S-615#07,Impeller as-built drawing,source standard document and data requirement
CFIHOS-68001150,S-615#08,Painting procedure,source standard document and data requirement
CFIHOS-68001151,S-615#09,Manufacturing record book index,source standard document and data requirement
CFIHOS-68001152,S-615#10,Manufacturing record book,source standard document and data requirement
CFIHOS-68001153,S-615#11,Declaration of conformity,source standard document and data requirement
CFIHOS-68001154,S704-IR-20,Supplier master information schedule,source standard document and data requirement
CFIHOS-68001155,S704-IR-21,Quality plan,source standard document and data requirement
CFIHOS-68001156,S704-IR-22,Inspection and test plan,source standard document and data requirement
CFIHOS-68001157,S704-IR-23,"Handling, shipping, storage and preservation procedure",source standard document and data requirement
CFIHOS-68001158,S704-IR-24,Non-conformance records,source standard document and data requirement
CFIHOS-68001159,S704-IR-25,Concession requests,source standard document and data requirement
CFIHOS-68001160,S704-IR-26,General arrangement drawing,source standard document and data requirement
CFIHOS-68001161,S704-IR-27,Termination diagram,source standard document and data requirement
CFIHOS-68001162,S704-IR-28,Single-speed motor performance curves,source standard document and data requirement
CFIHOS-68001163,S704-IR-29,Converter-fed motor performance curves,source standard document and data requirement
CFIHOS-68001164,S704-IR-30,Test procedure,source standard document and data requirement
CFIHOS-68001165,S704-IR-31,Test report,source standard document and data requirement
CFIHOS-68001166,S704-IR-35,Data for protection setting/power modelling,source standard document and data requirement
CFIHOS-68001167,S704-IR-36,Equivalent circuit diagram,source standard document and data requirement
CFIHOS-68001168,S704-IR-37,"Installation, operation and maintenance manual",source standard document and data requirement
CFIHOS-68001169,S704-IR-38,Ex certification,source standard document and data requirement
CFIHOS-68001170,S704-IR-39,Declaration of conformity,source standard document and data requirement
CFIHOS-68001171,S704-IR-40,S-704D Data Sheet,source standard document and data requirement
CFIHOS-68001172,S704-IR-42,Thermal limit curves,source standard document and data requirement
CFIHOS-68001173,S704-IR-43,Torsional analysis report,source standard document and data requirement
