CFIHOS unique code,section,object,entity name,property name,entity attribute name,definition,note / comment,example,identifier / mandatory / optional,format,constraint must be present in,data source,former section (if different from last published version),relationship verb
CFIHOS-10000128,,attribute:,equipment,purchase order number,,A unique code used to identify the purchase order within the company issuing the purchase order,,Example : 00058,Optional,"Text, max 50 characters",purchase order item,,,results in the receipt of
CFIHOS-10000166,,attribute:,equipment,tag name,,The full name of a tag,Different companies have different tag naming conventions. A tag name shall be unique within a plant.,Example : 036FV001,Optional,"Text, max 33 characters",tag,,,is fulfilled by
CFIHOS-10000164,,attribute:,equipment,vendor company name,,The name of the company supplying (''vendor'') the equipment,,Example : Valves and co Ltd,Optional,"Text, max 30 characters",company,,,sells
CFIHOS-00000042,A.3.11,entity:,ISO currency,,,"A currency, as recognised by the ISO organisation in its 4217 standard",,,,,,RDL Pick list,,
CFIHOS-10000193,,attribute:,ISO currency,ISO currency code,,"A code that uniquely identifies a currency, as per ISO 4217",,Example : USD,Identifier,"Text, max 3 characters",,,,
CFIHOS-10000194,,attribute:,ISO currency,ISO currency name,,The name that is assigned to the ISO currency,,Example : US Dollar,Mandatory,"Text, max 50 characters",,,,
CFIHOS-00000039,A.3.12,entity:,ISO country,,,"A country, as recognised by ISO in its 3166-1 standard",,,,,,RDL Pick list,,
CFIHOS-10000151,,attribute:,ISO country,ISO country code,,"A code that uniquely identifies a country, according to ISO 3166-1",,Example : US,Identifier,"Text, max 2 characters",,,,
CFIHOS-10000188,,attribute:,ISO country,ISO country name,,"The name assigned by ISO to the country, in its 3166-1 standard",,Example : Great Britain,Mandatory,"Text, max 100 characters",,,,
CFIHOS-00000149,A.3.15,entity:,equipment model part,,,"A model part, present in a manufacturer or vendor catalogue, or a custom designed model intended for installation as an equipment.",,,,,,Manufacturer/Vendor,,
CFIHOS-10000395,,attribute:,equipment model part,drawing position number,,Position / Item number of the item on the Manufacturer's Equipment drawing.,,Example : 001,Optional,Integer,,,,
CFIHOS-10000047,,attribute:,equipment model part,equipment class name,,The full name of the equipment class,,Example : control panel,Mandatory,"Text, max 100 characters",equipment class,,,defines the physical composition of
CFIHOS-10000158,,attribute:,equipment model part,manufacturer company name,,A name used to uniquely identify the company who manufactures the model / part,,Example : Flowserve,Optional,"Text, max 30 characters",model part,,,is subtype of
CFIHOS-10000192,,attribute:,equipment model part,model part description,,A description of the main function of the model part.,,Example : Control valve (Fieldbus),Mandatory,"Text, max 255 characters",,,,
CFIHOS-10000159,,attribute:,equipment model part,model part name,,A unique name to identify the model part of the manufacturer,,Example : A4 V726 PN 40,Optional,"Text, max 100 characters",model part,,,is subtype of
CFIHOS-10000394,,attribute:,equipment model part,original model part manufacturer name,,The original model part manufacturer name if different.,,Example : SKF,Optional,"Text, max 30 characters",model part,,,original manufacturer and part are
CFIHOS-10000400,,attribute:,equipment model part,original model part name,,The original model part manufacturer part number if different.,,Example : W 619/2 X,Optional,"Text, max 100 characters",model part,,,original manufacturer and part are
CFIHOS-10000393,,attribute:,equipment model part,shelf life,,The shelf life of the model part.,,Example : 1,Optional,NUM,,,,
CFIHOS-10000238,,attribute:,equipment model part,unit of measure name,shelf life unit of measure name,The unit of measure that uniquely identifies the shelf life duration.,,Example : metre,Optional,"Text, max 90 characters",unit of measure,,,qualifies the value of
CFIHOS-00000150,A.3.16,entity:,spare part,,,"A part, either non-repairable or repairable, from the associated bill of material used to maintain or repair machinery or equipment.",Definition inspired by IEC 62550 Spare parts provisioning.,,,,,Manufacturer/Vendor,,
CFIHOS-10000395,,attribute:,spare part,drawing position number,,Position / Item number of the item on the Manufacturer's Equipment drawing.,,Example : 001,Optional,Integer,,,,
CFIHOS-10000047,,attribute:,spare part,equipment class name,,The full name of the equipment class,,Example : control panel,Mandatory,"Text, max 100 characters",equipment class,,,defines the physical composition of
CFIHOS-10000158,,attribute:,spare part,manufacturer company name,,A name used to uniquely identify the company who manufactures the model / part,,Example : Flowserve,Optional,"Text, max 30 characters",model part,,,is subtype of
CFIHOS-10000192,,attribute:,spare part,model part description,,A description of the main function of the model part.,,Example : Control valve (Fieldbus),Mandatory,"Text, max 255 characters",,,,
CFIHOS-10000159,,attribute:,spare part,model part name,,A unique name to identify the model part of the manufacturer,,Example : A4 V726 PN 40,Optional,"Text, max 100 characters",model part,,,is subtype of
CFIHOS-10000394,,attribute:,spare part,original model part manufacturer name,,The original model part manufacturer name if different.,,Example : SKF,Optional,"Text, max 30 characters",model part,,,original manufacturer and part are
CFIHOS-10000400,,attribute:,spare part,original model part name,,The original model part manufacturer part number if different.,,Example : W 619/2 X,Optional,"Text, max 100 characters",model part,,,original manufacturer and part are
CFIHOS-10000393,,attribute:,spare part,shelf life,,The shelf life of the model part.,,Example : 1,Optional,NUM,,,,
CFIHOS-10000238,,attribute:,spare part,unit of measure name,shelf life unit of measure name,The unit of measure that uniquely identifies the shelf life duration.,,Example : metre,Optional,"Text, max 90 characters",unit of measure,,,qualifies the value of
CFIHOS-00000151,A.3.17,entity:,kit,,,"A kit comprises a number of items supplied under a single part number which is used to undertake a manufacturer’s approved repair scheme. A kit may include spare parts, special tools and consumables.",Definition inspired by IEC 62550 Spare parts provisioning.,,,,,Manufacturer/Vendor,,
CFIHOS-10000395,,attribute:,kit,drawing position number,,Position / Item number of the item on the Manufacturer's Equipment drawing.,,Example : 001,Optional,Integer,,,,
CFIHOS-10000047,,attribute:,kit,equipment class name,,The full name of the equipment class,,Example : control panel,Mandatory,"Text, max 100 characters",equipment class,,,defines the physical composition of
CFIHOS-10000158,,attribute:,kit,manufacturer company name,,A name used to uniquely identify the company who manufactures the model / part,,Example : Flowserve,Optional,"Text, max 30 characters",model part,,,is subtype of
CFIHOS-10000192,,attribute:,kit,model part description,,A description of the main function of the model part.,,Example : Control valve (Fieldbus),Mandatory,"Text, max 255 characters",,,,
CFIHOS-10000159,,attribute:,kit,model part name,,A unique name to identify the model part of the manufacturer,,Example : A4 V726 PN 40,Optional,"Text, max 100 characters",model part,,,is subtype of
CFIHOS-10000394,,attribute:,kit,original model part manufacturer name,,The original model part manufacturer name if different.,,Example : SKF,Optional,"Text, max 30 characters",model part,,,original manufacturer and part are
CFIHOS-10000400,,attribute:,kit,original model part name,,The original model part manufacturer part number if different.,,Example : W 619/2 X,Optional,"Text, max 100 characters",model part,,,original manufacturer and part are
CFIHOS-10000393,,attribute:,kit,shelf life,,The shelf life of the model part.,,Example : 1,Optional,NUM,,,,
CFIHOS-10000238,,attribute:,kit,unit of measure name,shelf life unit of measure name,The unit of measure that uniquely identifies the shelf life duration.,,Example : metre,Optional,"Text, max 90 characters",unit of measure,,,qualifies the value of
CFIHOS-00000139,A.3.18,entity:,selectable model part for tag,,,A model part that can be selected for the implementation of a tag,"The model part is selectable when the tag and the model part are part of the same tag or equipment class, or when the tag class and the equipment class have a relationship.",,,,,Owner/Operator,,
CFIHOS-10000158,,attribute:,selectable model part for tag,manufacturer company name,,A name used to uniquely identify the company who manufactures the model / part,,Example : Flowserve,Identifier,"Text, max 30 characters",model part,,,meets the criteria to be
CFIHOS-10000159,,attribute:,selectable model part for tag,model part name,,A unique name to identify the model part of the manufacturer,,Example : A4 V726 PN 40,Identifier,"Text, max 100 characters",model part,,,meets the criteria to be
CFIHOS-10000005,,attribute:,selectable model part for tag,plant code,,The plant where the tag is or will be located,,Example : 6000,Identifier,"Text, max 40 characters",tag,,,can be implemented by
CFIHOS-10000166,,attribute:,selectable model part for tag,tag name,,The full name of a tag,Different companies have different tag naming conventions. A tag name shall be unique within a plant.,Example : 036FV001,Identifier,"Text, max 33 characters",tag,,,can be implemented by
CFIHOS-00000152,A.3.19,entity:,special tool,,,"A tool that is specifically required in conjunction with model parts, for example a tool intended to install a model part.",Definition inspired by IEC 62550 Spare parts provisioning.,,,,,Manufacturer/Vendor,,
