discipline document type CFIHOS unique code,discipline CFIHOS unique code,discipline code,discipline name,document type CFIHOS unique code,document type short code,document type name,document type description,discipline document type short code,asset type reference,representation type,native file delivery timing,native document format,authenticated record format,required document status for detailed engineering,required document status for construction,required document status for commissioning,required document status for startup,required document status for operations,review type,discipline document type comment,hardcopy document required,translated document required,document type synonym name
CFIHOS-20000632,CFIHOS-20000006,CS,structural engineering,CFIHOS-70000351,0519,vibration analysis,A report documenting  assumptions and method determining computer analysis of cyclic loads due to vibratory equipment. (e.g. module and foundations for rotating equipment).,CS0519,Plant,Structured Data,not applicable,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20000633,CFIHOS-20000006,CS,structural engineering,CFIHOS-70000204,0520,loadout and loadin analysis,A report documenting  assumptions and method determining computer analysis to verify the module design for loadout/in condition.,CS0520,Plant,not specified,not applicable,,,IFD,IFC,IFC,not specified,IFC,not specified,,,,
CFIHOS-20000634,CFIHOS-20000006,CS,structural engineering,CFIHOS-70000340,0521,transportation analysis,A report documenting  assumptions and method determining computer analysis to verify the module design for transportation condition.,CS0521,Plant,not specified,not applicable,,,not specified,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20000635,CFIHOS-20000006,CS,structural engineering,CFIHOS-70000368,0522,setdown analysis,A report documenting  assumptions and method determining computer analysis to verify the module design for setdown condition.,CS0522,Plant,Structured Data,not applicable,,,not specified,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20000636,CFIHOS-20000006,CS,structural engineering,CFIHOS-70000359,1448,weight report,"A report shows weight and center of gravity of equipment. If large items are to be handled for equipment installation or maintenance, then the weight and center of gravity of these individual parts should be shown.",CS1448,Equipment,Text,at handover,,,not specified,IFU,IFU,IAB,IAB,not specified,,,,
CFIHOS-20000639,CFIHOS-20000006,CS,structural engineering,CFIHOS-70000151,2332,foundation loading diagram,"A diagram detailing static and dynamic forces or movements acting on foundations or other load bearing supports, anchor bolt details, lengths and pre-tensioning. May include 'civil structural' for loads imposed, and 'civil foundations' for foundation design.  Also see 'foundation design diagram', specifically for construction details.",CS2332,Plant,Intelligent vector drawing (CAD),at handover,,,IFC,IFC,IFC,IFC,IFC,not specified,,,,
CFIHOS-20000640,CFIHOS-20000006,CS,structural engineering,CFIHOS-70000382,2358,support diagram,"A detail diagram depicting the support of pipe, cable, instrument and other supports (e.g., pipe shoes, sleeper, hangers).",CS2358,Tag,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,IFC,IFC,IFC,not specified,,,,
CFIHOS-20000642,CFIHOS-20000006,CS,structural engineering,CFIHOS-70000379,2408,primary steel diagram,"A diagram depicting primary steel(e.g., bracing, beams).",CS2408,Plant,Intelligent vector drawing (CAD),at handover,,,IFD,IFC,IFC,not specified,IFC,not specified,,,,
CFIHOS-20000643,CFIHOS-20000006,CS,structural engineering,CFIHOS-70000153,4018,general arrangement diagram,A diagram showing the main features and locations of major items. Usually has some dimensions to convey spatial relationships but is generally inadequate for construction.,CS4018,Tag,Intelligent vector drawing (CAD),during project,,,IFD,IFC,not specified,IAB,IAB,not specified,,,,
CFIHOS-20000645,CFIHOS-20000006,CS,structural engineering,CFIHOS-70000356,6063,weighing procedure,A procedure to record weight during design and manufacture prior to shipment.,CS6063,Equipment,Text,not applicable,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20000646,CFIHOS-20000006,CS,structural engineering,CFIHOS-70000256,6180,general procedure,A document which describes a set of logically sequenced instructions to execute an activity. Not to be used if a more specific document type can be used.  Can be used for singular/speciality deliverables which do not have a unique document type.,CS6180,Plant,Text,during project,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20000647,CFIHOS-20000006,CS,structural engineering,CFIHOS-70000389,7205,technical deviation request,"A request, approval or rejection of changes to a technical specification. Would typically include justification and reasons for the request, and acceptance or rejection from a purely technical perspective.",CS7205,Tag,Text,during project,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,concession request;change request
CFIHOS-20000648,CFIHOS-20000006,CS,structural engineering,CFIHOS-70000407,7303,requisition,"A request with a brief description of the parts to be ordered, with a statement of the pertinent drawings, specifications, etc., as well as a list of drawings and documents to be provided by the manufacturer/supplier.",CS7303,Tag,Structured Data,not applicable,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000649,CFIHOS-20000006,CS,structural engineering,CFIHOS-70000092,7403,design review report,"A report documenting verification of a design, based on comparison with standards, constructability, operability, safety, etc. May be performed by internal or external resources.",CS7403,Tag,Text,during project,,,IFU,IFU,not specified,not specified,IFU,not specified,,,,
CFIHOS-20000650,CFIHOS-20000006,CS,structural engineering,CFIHOS-70000331,7753,terms of reference,"A document capturing scope and details of the activity to which it refers and any conditions relating to the appointment of a person(s) to undertake the activity. Includes the distribution of work, schedule and the responsibilities among the people participating in an evaluation process.",CS7753,Plant,Text,at handover,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000651,CFIHOS-20000006,CS,structural engineering,CFIHOS-70000244,7770,functional design specification,"A specification that describes the deliverable in terms of form, fit, function, and performance characteristics to satisfy the intended use where interpretation is required.Includes most discipline specifications describing the functionality (e.g., relief and blowdown specification, surface coating, inspection specifications, operating envelopes, etc.).",CS7770,Tag,Text,at handover,,,IFU,IFU,not specified,not specified,IFU,not specified,,,,
CFIHOS-20000652,CFIHOS-20000006,CS,structural engineering,CFIHOS-70000399,7771,equipment specification,A specification that describes the physical equipment for the purpose of procurement or fabrication. Compliments the datasheet.,CS7771,Tag,Text,at handover,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20000653,CFIHOS-20000006,CS,structural engineering,CFIHOS-70000264,7880,general specification,A document formally establishing the mandatory limits or parameters which are to be met. Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.,CS7880,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20000657,CFIHOS-20000006,CS,structural engineering,CFIHOS-70000267,8380,general study,A document detailing the result of a professional evaluation and/or investigation of a specific subject. Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.,CS8380,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20000658,CFIHOS-20000006,CS,structural engineering,CFIHOS-70000045,8502,clarification request,"Request (e.g., from a Contractor) for clarification of scope, technical details, or assumptions.",CS8502,Tag,Text,during project,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,technical query (tq);request for information (rfi)
CFIHOS-20000659,CFIHOS-20000007,CX,civil engineering,CFIHOS-70000134,0502,fatigue analysis,Verification of module/substructure design for cyclic loads.,CX0502,Process_Unit,Structured Data,not applicable,,,IFD,IFD,IFD,IFD,IFD,not specified,,,,
CFIHOS-20000660,CFIHOS-20000007,CX,civil engineering,CFIHOS-70000137,0503,finite element analysis report,A report documenting method (including software) and results of finite element analysis of components.,CX0503,Plant,not specified,not applicable,,,not specified,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20000662,CFIHOS-20000007,CX,civil engineering,CFIHOS-70000234,0780,general assessment,"An assessment which details a health check, GAP analysis, etc. both informal and to meet 'project management framework' requirements. Not to be used if a more specific document type can be used. Can be used for singular/specialty deliverables which do not have a unique document type.",CX0780,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20000663,CFIHOS-20000007,CX,civil engineering,CFIHOS-70000238,1380,general calculation,"A document showing inputs, formulas, rationale, and conclusions/mathematical results as required to enhance design or bound activities.",CX1380,Plant,not specified,not applicable,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20000666,CFIHOS-20000007,CX,civil engineering,CFIHOS-70000310,2397,reinforcement diagram,"Includes steel reinforcement in concrete structures (e.g., rebar).",CX2397,Plant,Intelligent vector drawing (CAD),at handover,,,IFC,IFC,IFC,not specified,IFC,not specified,,,,
CFIHOS-20000667,CFIHOS-20000007,CX,civil engineering,CFIHOS-70000009,2405,anchoring diagram,A diagram showing anchoring and mooring of offshore vessels and structures and the interaction of anchor lines with sub-sea pipelines and structures.,CX2405,Tag,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,IFC,IFC,IAB,not specified,,,,
